,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance
,Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon
0,Peter Løvenkrands,,dk DEN,"FW,MF",31-071,90,0,0,0,,,,0,0,,,,,,,0,,
1,Nile Ranger,,eng ENG,FW,19-364,82,0,0,0,,,,0,0,,,,,,,0,,
2,Shefki Kuqi,,fi FIN,FW,34-151,8,0,0,0,,,,0,0,,,,,,,0,,
3,Jonás Gutiérrez,,ar ARG,MF,27-279,90,0,0,0,,,,0,0,,,,,,,0,,
4,Fabricio Coloccini,,ar ARG,"DF,MF",29-078,90,0,0,0,,,,0,0,,,,,,,0,,
5,Danny Guthrie,,eng ENG,MF,23-357,90,0,0,0,,,,0,0,,,,,,,0,,
6,Joey Barton,,eng ENG,MF,28-220,90,0,0,0,,,,1,0,,,,,,,0,,
7,José Enrique,,es ESP,DF,25-077,90,0,0,0,,,,0,0,,,,,,,0,,
8,Steven Taylor,,eng ENG,DF,25-077,62,0,0,0,,,,0,0,,,,,,,0,,
9,Ryan Taylor,,eng ENG,"DF,MF",26-234,28,0,0,0,,,,0,0,,,,,,,0,,
10,Mike Williamson,,eng ENG,DF,27-153,90,0,0,0,,,,1,0,,,,,,,0,,
11,Danny Simpson,,eng ENG,DF,24-096,90,0,0,0,,,,0,0,,,,,,,0,,
12,Steve Harper,,eng ENG,GK,36-027,90,0,0,0,,,,0,0,,,,,,,0,,
13,13 Players,,,,,990,0,0,0,,,,2,0,,,,,,,0,,
