,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance
,Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon
0,Didier Drogba,,ci CIV,FW,32-254,90,0,0,0,,,,0,0,,,,,,,0,,
1,Salomon Kalou,,ci CIV,"FW,MF",25-107,90,0,0,0,,,,0,0,,,,,,,0,,
2,Nicolas Anelka,,fr FRA,FW,31-251,90,0,0,0,,,,0,0,,,,,,,0,,
3,Florent Malouda,,fr FRA,"FW,MF",30-160,90,0,0,0,,,,0,0,,,,,,,0,,
4,John Obi Mikel,,ng NGA,MF,23-212,90,0,0,0,,,,0,0,,,,,,,0,,
5,Ramires,,br BRA,MF,23-241,71,0,0,0,,,,0,0,,,,,,,0,,
6,Daniel Sturridge,,eng ENG,"FW,MF",21-080,19,0,0,0,,,,0,0,,,,,,,0,,
7,Ashley Cole,,eng ENG,DF,29-335,90,0,0,0,,,,0,0,,,,,,,0,,
8,Alex,,br BRA,DF,28-156,90,0,0,0,,,,0,0,,,,,,,0,,
9,Branislav Ivanović,,rs SRB,DF,26-271,90,0,0,0,,,,0,0,,,,,,,0,,
10,Paulo Ferreira,,pt POR,DF,31-306,64,0,0,0,,,,0,0,,,,,,,0,,
11,José Bosingwa,,pt POR,DF,28-088,26,0,0,0,,,,0,0,,,,,,,0,,
12,Petr Čech,,cz CZE,GK,28-184,90,0,0,0,,,,0,0,,,,,,,0,,
13,13 Players,,,,,990,0,0,0,,,,0,0,,,,,,,0,,
