,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance
,Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon
0,Obafemi Martins,,ng NGA,FW,26-110,57,0,0,0,,,,0,0,,,,,,,0,,
1,Cameron Jerome,,eng ENG,FW,24-185,33,0,0,0,,,,0,0,,,,,,,0,,
2,Nikola Žigić,,rs SRB,FW,30-143,90,0,0,0,,,,0,0,,,,,,,0,,
3,David Bentley,,eng ENG,MF,26-172,90,0,0,0,,,,0,0,,,,,,,0,,
4,Craig Gardner,,eng ENG,MF,24-082,90,0,0,0,,,,0,0,,,,,,,0,,
5,Barry Ferguson,,sct SCO,MF,33-013,90,0,0,0,,,,0,0,,,,,,,0,,
6,Sebastian Larsson,,se SWE,MF,25-254,74,0,0,0,,,,0,0,,,,,,,0,,
7,Kevin Phillips,,eng ENG,FW,37-205,16,0,0,0,,,,0,0,,,,,,,0,,
8,Liam Ridgewell,,eng ENG,DF,26-209,90,0,0,0,,,,0,0,,,,,,,0,,
9,Roger Johnson,,eng ENG,DF,27-293,90,0,0,0,,,,0,0,,,,,,,0,,
10,Martin Jiránek,,cz CZE,DF,31-266,72,0,0,0,,,,0,0,,,,,,,0,,
11,David Murphy,,eng ENG,DF,26-351,18,0,0,0,,,,1,0,,,,,,,0,,
12,Stephen Carr,,ie IRL,DF,34-170,90,0,0,0,,,,0,0,,,,,,,0,,
13,Ben Foster,,eng ENG,GK,27-318,90,0,0,0,,,,0,0,,,,,,,0,,
14,14 Players,,,,,990,0,0,0,,,,1,0,,,,,,,0,,
