,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance
,Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon
0,Kevin Doyle,,ie IRL,FW,27-077,90,0,0,0,,,,0,0,,,,,,,0,,
1,Matthew Jarvis,,eng ENG,MF,24-196,90,0,0,0,,,,0,0,,,,,,,0,,
2,Kevin Foley,,ie IRL,"DF,MF",26-033,90,0,0,0,,,,0,0,,,,,,,0,,
3,Michael Mancienne,,sc SEY,"DF,MF",22-330,51,0,0,0,,,,0,0,,,,,,,0,,
4,Stephen Hunt,,ie IRL,"FW,MF",29-125,39,0,0,0,,,,1,0,,,,,,,0,,
5,Nenad Milijaš,,rs SRB,MF,27-218,90,0,0,0,,,,0,0,,,,,,,0,,
6,Stephen Ward,,ie IRL,"DF,FW",25-106,90,0,0,0,,,,0,0,,,,,,,0,,
7,George Elokobi,,cm CMR,DF,24-307,90,0,0,0,,,,0,0,,,,,,,0,,
8,Christophe Berra,,sct SCO,DF,25-307,90,0,0,0,,,,1,0,,,,,,,0,,
9,Steven Mouyokolo,,cg CGO,DF,23-314,45,0,0,0,,,,0,0,,,,,,,0,,
10,Sylvan Ebanks-Blake,,eng ENG,FW,24-250,45,0,0,0,,,,0,0,,,,,,,0,,
11,Ronald Zubar,,fr FRA,DF,25-075,90,0,0,0,,,,0,0,,,,,,,0,,
12,Wayne Hennessey,,wls WAL,GK,23-314,90,0,0,0,,,,0,0,,,,,,,0,,
13,13 Players,,,,,990,0,0,0,,,,2,0,,,,,,,0,,
