,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Poss,Attendance,Captain,Formation,Referee,Match Report,Notes
0,2011-08-13,,Premier League,Matchweek 1,Sat,Home,L,0,4,Bolton,,"15,195",,4-2-3-1,Martin Atkinson,https://fbref.com/en/matches/251d86e5/Queens-Park-Rangers-Bolton-Wanderers-August-13-2011-Premier-League,
1,2011-08-20,,Premier League,Matchweek 2,Sat,Away,W,1,0,Everton,,"35,008",,4-2-3-1,Kevin Friend,https://fbref.com/en/matches/bbaf64d8/Everton-Queens-Park-Rangers-August-20-2011-Premier-League,
2,2011-08-27,,Premier League,Matchweek 3,Sat,Away,L,0,2,Wigan Athletic,,"17,225",,4-2-3-1,Michael Oliver,https://fbref.com/en/matches/bd323765/Wigan-Athletic-Queens-Park-Rangers-August-27-2011-Premier-League,
3,2011-09-12,,Premier League,Matchweek 4,Mon,Home,D,0,0,Newcastle Utd,,"16,211",,4-3-3,Phil Dowd,https://fbref.com/en/matches/809325c2/Queens-Park-Rangers-Newcastle-United-September-12-2011-Premier-League,
4,2011-09-17,,Premier League,Matchweek 5,Sat,Away,W,3,0,Wolves,,"24,189",,4-3-3,Anthony Taylor,https://fbref.com/en/matches/6582924b/Wolverhampton-Wanderers-Queens-Park-Rangers-September-17-2011-Premier-League,
5,2011-09-25,,Premier League,Matchweek 6,Sun,Home,D,1,1,Aston Villa,,"16,707",,4-3-3,Michael Oliver,https://fbref.com/en/matches/8b6c989e/Queens-Park-Rangers-Aston-Villa-September-25-2011-Premier-League,
6,2011-10-02,,Premier League,Matchweek 7,Sun,Away,L,0,6,Fulham,,"23,766",,4-3-3,Andre Marriner,https://fbref.com/en/matches/9838dae6/Fulham-Queens-Park-Rangers-October-2-2011-Premier-League,
7,2011-10-15,,Premier League,Matchweek 8,Sat,Home,D,1,1,Blackburn,,"16,487",,4-3-3,Mark Clattenburg,https://fbref.com/en/matches/cc9eb896/Queens-Park-Rangers-Blackburn-Rovers-October-15-2011-Premier-League,
8,2011-10-23,,Premier League,Matchweek 9,Sun,Home,W,1,0,Chelsea,,"18,050",,4-3-3,Chris Foy,https://fbref.com/en/matches/5c0fb99e/Queens-Park-Rangers-Chelsea-October-23-2011-Premier-League,
9,2011-10-30,,Premier League,Matchweek 10,Sun,Away,L,1,3,Tottenham,,"36,147",,4-3-3,Howard Webb,https://fbref.com/en/matches/e6d673ee/Tottenham-Hotspur-Queens-Park-Rangers-October-30-2011-Premier-League,
10,2011-11-05,,Premier League,Matchweek 11,Sat,Home,L,2,3,Manchester City,,"18,076",,4-4-2,Martin Atkinson,https://fbref.com/en/matches/eb7fcd79/Queens-Park-Rangers-Manchester-City-November-5-2011-Premier-League,
11,2011-11-19,,Premier League,Matchweek 12,Sat,Away,W,3,2,Stoke City,,"27,618",,4-2-3-1,Mike Jones,https://fbref.com/en/matches/d0223a5e/Stoke-City-Queens-Park-Rangers-November-19-2011-Premier-League,
12,2011-11-26,,Premier League,Matchweek 13,Sat,Away,L,1,2,Norwich City,,"26,781",,4-2-3-1,Mark Clattenburg,https://fbref.com/en/matches/3265b1e8/Norwich-City-Queens-Park-Rangers-November-26-2011-Premier-League,
13,2011-12-03,,Premier League,Matchweek 14,Sat,Home,D,1,1,West Brom,,"17,290",,4-4-1-1,Martin Atkinson,https://fbref.com/en/matches/d117230a/Queens-Park-Rangers-West-Bromwich-Albion-December-3-2011-Premier-League,
14,2011-12-10,,Premier League,Matchweek 15,Sat,Away,L,0,1,Liverpool,,"45,016",,4-4-1-1,Lee Mason,https://fbref.com/en/matches/4760af99/Liverpool-Queens-Park-Rangers-December-10-2011-Premier-League,
15,2011-12-18,,Premier League,Matchweek 16,Sun,Home,L,0,2,Manchester Utd,,"18,033",,4-4-1-1,Howard Webb,https://fbref.com/en/matches/1867930d/Queens-Park-Rangers-Manchester-United-December-18-2011-Premier-League,
16,2011-12-21,,Premier League,Matchweek 17,Wed,Home,L,2,3,Sunderland,,"16,167",,4-3-3,Andre Marriner,https://fbref.com/en/matches/60d125ff/Queens-Park-Rangers-Sunderland-December-21-2011-Premier-League,
17,2011-12-27,,Premier League,Matchweek 18,Tue,Away,D,1,1,Swansea City,,"19,530",,4-4-1-1,Lee Probert,https://fbref.com/en/matches/1f7fad7a/Swansea-City-Queens-Park-Rangers-December-27-2011-Premier-League,
18,2011-12-31,,Premier League,Matchweek 19,Sat,Away,L,0,1,Arsenal,,"60,067",,4-2-3-1,Martin Atkinson,https://fbref.com/en/matches/14a7363f/Arsenal-Queens-Park-Rangers-December-31-2011-Premier-League,
