,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Poss,Attendance,Captain,Formation,Referee,Match Report,Notes
0,2013-08-19,,Premier League,Matchweek 1,Mon,Away,L,0,4,Manchester City,,"46,842",,4-3-3,Andre Marriner,https://fbref.com/en/matches/91a4f233/Manchester-City-Newcastle-United-August-19-2013-Premier-League,
1,2013-08-24,,Premier League,Matchweek 2,Sat,Home,D,0,0,West Ham,,"49,622",,4-4-2,Phil Dowd,https://fbref.com/en/matches/840f5d17/Newcastle-United-West-Ham-United-August-24-2013-Premier-League,
2,2013-08-31,,Premier League,Matchweek 3,Sat,Home,W,1,0,Fulham,,"46,402",,4-4-2,Chris Foy,https://fbref.com/en/matches/eb25ce01/Newcastle-United-Fulham-August-31-2013-Premier-League,
3,2013-09-14,,Premier League,Matchweek 4,Sat,Away,W,2,1,Aston Villa,,"37,554",,4-2-3-1,Mike Dean,https://fbref.com/en/matches/ffbef2e8/Aston-Villa-Newcastle-United-September-14-2013-Premier-League,
4,2013-09-21,,Premier League,Matchweek 5,Sat,Home,L,2,3,Hull City,,"51,523",,4-3-3,Martin Atkinson,https://fbref.com/en/matches/0ee74767/Newcastle-United-Hull-City-September-21-2013-Premier-League,
5,2013-09-30,,Premier League,Matchweek 6,Mon,Away,L,2,3,Everton,,"33,495",,4-2-3-1,Phil Dowd,https://fbref.com/en/matches/3c693bf2/Everton-Newcastle-United-September-30-2013-Premier-League,
6,2013-10-05,,Premier League,Matchweek 7,Sat,Away,W,2,1,Cardiff City,,"27,538",,4-1-4-1,Kevin Friend,https://fbref.com/en/matches/583ca377/Cardiff-City-Newcastle-United-October-5-2013-Premier-League,
7,2013-10-19,,Premier League,Matchweek 8,Sat,Home,D,2,2,Liverpool,,"51,703",,4-2-3-1,Andre Marriner,https://fbref.com/en/matches/d1c0f31c/Newcastle-United-Liverpool-October-19-2013-Premier-League,
8,2013-10-27,,Premier League,Matchweek 9,Sun,Away,L,1,2,Sunderland,,"46,313",,4-3-3,Lee Probert,https://fbref.com/en/matches/07dfb25c/Sunderland-Newcastle-United-October-27-2013-Premier-League,
9,2013-11-02,,Premier League,Matchweek 10,Sat,Home,W,2,0,Chelsea,,"51,674",,4-4-2,Lee Mason,https://fbref.com/en/matches/7023a8d4/Newcastle-United-Chelsea-November-2-2013-Premier-League,
