,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Poss,Attendance,Captain,Formation,Referee,Match Report,Notes
0,2013-08-17,,Premier League,Matchweek 1,Sat,Home,L,0,1,Southampton,,"25,927",,4-4-2,Kevin Friend,https://fbref.com/en/matches/996ba598/West-Bromwich-Albion-Southampton-August-17-2013-Premier-League,
1,2013-08-24,,Premier League,Matchweek 2,Sat,Away,D,0,0,Everton,,"36,410",,4-4-2,Roger East,https://fbref.com/en/matches/c0302a3d/Everton-West-Bromwich-Albion-August-24-2013-Premier-League,
2,2013-09-01,,Premier League,Matchweek 3,Sun,Home,L,0,2,Swansea City,,"23,395",,4-4-2,Mike Dean,https://fbref.com/en/matches/a00957fa/West-Bromwich-Albion-Swansea-City-September-1-2013-Premier-League,
3,2013-09-14,,Premier League,Matchweek 4,Sat,Away,D,1,1,Fulham,,"25,560",,4-4-2,Lee Probert,https://fbref.com/en/matches/b3a16ffb/Fulham-West-Bromwich-Albion-September-14-2013-Premier-League,
4,2013-09-21,,Premier League,Matchweek 5,Sat,Home,W,3,0,Sunderland,,"24,595",,4-2-3-1,Phil Dowd,https://fbref.com/en/matches/40aac645/West-Bromwich-Albion-Sunderland-September-21-2013-Premier-League,
5,2013-09-28,,Premier League,Matchweek 6,Sat,Away,W,2,1,Manchester Utd,,"75,042",,4-2-3-1,Michael Oliver,https://fbref.com/en/matches/84732bf2/Manchester-United-West-Bromwich-Albion-September-28-2013-Premier-League,
6,2013-10-06,,Premier League,Matchweek 7,Sun,Home,D,1,1,Arsenal,,"24,839",,4-2-3-1,Lee Mason,https://fbref.com/en/matches/5174f6eb/West-Bromwich-Albion-Arsenal-October-6-2013-Premier-League,
7,2013-10-19,,Premier League,Matchweek 8,Sat,Away,D,0,0,Stoke City,,"25,904",,4-2-3-1,Howard Webb,https://fbref.com/en/matches/aefcb1a9/Stoke-City-West-Bromwich-Albion-October-19-2013-Premier-League,
8,2013-10-26,,Premier League,Matchweek 9,Sat,Away,L,1,4,Liverpool,,"44,747",,4-2-3-1,Jon Moss,https://fbref.com/en/matches/2ba62402/Liverpool-West-Bromwich-Albion-October-26-2013-Premier-League,
9,2013-11-02,,Premier League,Matchweek 10,Sat,Home,W,2,0,Crystal Palace,,"26,397",,4-2-3-1,Neil Swarbrick,https://fbref.com/en/matches/f03ad0bc/West-Bromwich-Albion-Crystal-Palace-November-2-2013-Premier-League,
10,2013-11-09,,Premier League,Matchweek 11,Sat,Away,D,2,2,Chelsea,,"41,623",,4-2-3-1,Lee Probert,https://fbref.com/en/matches/9e4346af/Chelsea-West-Bromwich-Albion-November-9-2013-Premier-League,
11,2013-11-25,,Premier League,Matchweek 12,Mon,Home,D,2,2,Aston Villa,,"24,902",,4-2-3-1,Michael Oliver,https://fbref.com/en/matches/f710e697/West-Bromwich-Albion-Aston-Villa-November-25-2013-Premier-League,
12,2013-11-30,,Premier League,Matchweek 13,Sat,Away,L,1,2,Newcastle Utd,,"49,298",,4-2-3-1,Phil Dowd,https://fbref.com/en/matches/43679f2d/Newcastle-United-West-Bromwich-Albion-November-30-2013-Premier-League,
13,2013-12-04,,Premier League,Matchweek 14,Wed,Home,L,2,3,Manchester City,,"22,943",,4-2-3-1,Chris Foy,https://fbref.com/en/matches/ef0554e9/West-Bromwich-Albion-Manchester-City-December-4-2013-Premier-League,
14,2013-12-07,,Premier League,Matchweek 15,Sat,Home,L,0,2,Norwich City,,"23,675",,4-2-3-1,Mark Clattenburg,https://fbref.com/en/matches/5d3ec906/West-Bromwich-Albion-Norwich-City-December-7-2013-Premier-League,
15,2013-12-14,,Premier League,Matchweek 16,Sat,Away,L,0,1,Cardiff City,,"26,632",,4-2-3-1,Howard Webb,https://fbref.com/en/matches/bf5ddefe/Cardiff-City-West-Bromwich-Albion-December-14-2013-Premier-League,
16,2013-12-21,,Premier League,Matchweek 17,Sat,Home,D,1,1,Hull City,,"24,753",,4-2-3-1,Jon Moss,https://fbref.com/en/matches/ad9c552f/West-Bromwich-Albion-Hull-City-December-21-2013-Premier-League,
17,2013-12-26,,Premier League,Matchweek 18,Thu,Away,D,1,1,Tottenham,,"35,545",,4-2-3-1,Anthony Taylor,https://fbref.com/en/matches/7e596e09/Tottenham-Hotspur-West-Bromwich-Albion-December-26-2013-Premier-League,
18,2013-12-28,,Premier League,Matchweek 19,Sat,Away,D,3,3,West Ham,,"34,946",,3-5-2,Mike Dean,https://fbref.com/en/matches/0b5215cb/West-Ham-United-West-Bromwich-Albion-December-28-2013-Premier-League,
