,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Poss,Attendance,Captain,Formation,Referee,Match Report,Notes
0,2015-08-08,15:00 ,Premier League,Matchweek 1,Sat,Home,W,4,2,Sunderland,44,"32,242",Wes Morgan,4-4-2,Lee Mason,https://fbref.com/en/matches/a6cda14d/Leicester-City-Sunderland-August-8-2015-Premier-League,
1,2015-08-15,15:00 ,Premier League,Matchweek 2,Sat,Away,W,2,1,West Ham,30,"34,857",Wes Morgan,4-4-2,Anthony Taylor,https://fbref.com/en/matches/724613dd/West-Ham-United-Leicester-City-August-15-2015-Premier-League,
2,2015-08-22,15:00 ,Premier League,Matchweek 3,Sat,Home,D,1,1,Tottenham,35,"31,971",Wes Morgan,4-4-2,Martin Atkinson,https://fbref.com/en/matches/07d8c9ad/Leicester-City-Tottenham-Hotspur-August-22-2015-Premier-League,
4,2015-08-29,15:00 ,Premier League,Matchweek 4,Sat,Away,D,1,1,Bournemouth,44,"11,155",Wes Morgan,4-1-4-1,Niel Swarbrick,https://fbref.com/en/matches/6a866fb8/Bournemouth-Leicester-City-August-29-2015-Premier-League,
5,2015-09-13,16:00 ,Premier League,Matchweek 5,Sun,Home,W,3,2,Aston Villa,49,"31,733",Wes Morgan,4-4-2,Mike Dean,https://fbref.com/en/matches/55e43db2/Leicester-City-Aston-Villa-September-13-2015-Premier-League,
6,2015-09-19,15:00 ,Premier League,Matchweek 6,Sat,Away,D,2,2,Stoke City,46,"27,642",Wes Morgan,4-4-2,Andre Marriner,https://fbref.com/en/matches/e383f18d/Stoke-City-Leicester-City-September-19-2015-Premier-League,
8,2015-09-26,15:00 ,Premier League,Matchweek 7,Sat,Home,L,2,5,Arsenal,42,"32,047",Wes Morgan,4-4-2,Craig Pawson,https://fbref.com/en/matches/69e04a8b/Leicester-City-Arsenal-September-26-2015-Premier-League,
9,2015-10-03,15:00 ,Premier League,Matchweek 8,Sat,Away,W,2,1,Norwich City,34,"27,067",Wes Morgan,4-4-2,Mark Clattenburg,https://fbref.com/en/matches/5e44f3d4/Norwich-City-Leicester-City-October-3-2015-Premier-League,
10,2015-10-17,15:00 ,Premier League,Matchweek 9,Sat,Away,D,2,2,Southampton,49,"30,966",Wes Morgan,4-4-2,Paul Tierney,https://fbref.com/en/matches/2110819e/Southampton-Leicester-City-October-17-2015-Premier-League,
11,2015-10-24,15:00 ,Premier League,Matchweek 10,Sat,Home,W,1,0,Crystal Palace,48,"31,752",Wes Morgan,4-4-1-1,Mike Dean,https://fbref.com/en/matches/f556d816/Leicester-City-Crystal-Palace-October-24-2015-Premier-League,
13,2015-10-31,15:00 ,Premier League,Matchweek 11,Sat,Away,W,3,2,West Brom,52,"24,150",Wes Morgan,4-4-2,Anthony Taylor,https://fbref.com/en/matches/d7177992/West-Bromwich-Albion-Leicester-City-October-31-2015-Premier-League,
14,2015-11-07,15:00 ,Premier League,Matchweek 12,Sat,Home,W,2,1,Watford,41,"32,029",Wes Morgan,4-4-2,Roger East,https://fbref.com/en/matches/664143dd/Leicester-City-Watford-November-7-2015-Premier-League,
15,2015-11-21,15:00 ,Premier League,Matchweek 13,Sat,Away,W,3,0,Newcastle Utd,46,"50,151",Wes Morgan,4-4-2,Mike Jones,https://fbref.com/en/matches/19345531/Newcastle-United-Leicester-City-November-21-2015-Premier-League,
16,2015-11-28,17:30 ,Premier League,Matchweek 14,Sat,Home,D,1,1,Manchester Utd,31,"32,115",Wes Morgan,4-4-2,Craig Pawson,https://fbref.com/en/matches/6a421739/Leicester-City-Manchester-United-November-28-2015-Premier-League,
17,2015-12-05,15:00 ,Premier League,Matchweek 15,Sat,Away,W,3,0,Swansea City,41,"20,836",Wes Morgan,4-4-2,Michael Oliver,https://fbref.com/en/matches/8bd222b7/Swansea-City-Leicester-City-December-5-2015-Premier-League,
18,2015-12-14,20:00 ,Premier League,Matchweek 16,Mon,Home,W,2,1,Chelsea,34,"32,054",Wes Morgan,4-4-2,Mark Clattenburg,https://fbref.com/en/matches/37cb8a35/Leicester-City-Chelsea-December-14-2015-Premier-League,
19,2015-12-19,15:00 ,Premier League,Matchweek 17,Sat,Away,W,3,2,Everton,33,"39,570",Wes Morgan,4-4-2,Jonathan Moss,https://fbref.com/en/matches/301aea47/Everton-Leicester-City-December-19-2015-Premier-League,
20,2015-12-26,15:00 ,Premier League,Matchweek 18,Sat,Away,L,0,1,Liverpool,35,"44,123",Wes Morgan,4-4-2,Martin Atkinson,https://fbref.com/en/matches/8bd883d7/Liverpool-Leicester-City-December-26-2015-Premier-League,
