,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Poss,Attendance,Captain,Formation,Referee,Match Report,Notes
0,2016-08-13,15:00 ,Premier League,Matchweek 1,Sat,Home,L,0,1,Swansea City,48,"19,126",Tom Heaton,4-4-2,Jonathan Moss,https://fbref.com/en/matches/09bf9607/Burnley-Swansea-City-August-13-2016-Premier-League,
1,2016-08-20,15:00 ,Premier League,Matchweek 2,Sat,Home,W,2,0,Liverpool,20,"21,313",Tom Heaton,4-4-2,Lee Mason,https://fbref.com/en/matches/d12b8249/Burnley-Liverpool-August-20-2016-Premier-League,
3,2016-08-27,15:00 ,Premier League,Matchweek 3,Sat,Away,L,0,3,Chelsea,40,"41,607",Tom Heaton,4-4-2,Mark Clattenburg,https://fbref.com/en/matches/6069ad6a/Chelsea-Burnley-August-27-2016-Premier-League,
4,2016-09-10,15:00 ,Premier League,Matchweek 4,Sat,Home,D,1,1,Hull City,39,"18,803",Tom Heaton,4-4-2,Paul Tierney,https://fbref.com/en/matches/d4897924/Burnley-Hull-City-September-10-2016-Premier-League,
5,2016-09-17,15:00 ,Premier League,Matchweek 5,Sat,Away,L,0,3,Leicester City,41,"31,916",Tom Heaton,4-5-1,Anthony Taylor,https://fbref.com/en/matches/9b325ce3/Leicester-City-Burnley-September-17-2016-Premier-League,
6,2016-09-26,20:00 ,Premier League,Matchweek 6,Mon,Home,W,2,0,Watford,44,"18,519",Tom Heaton,4-5-1,Mike Jones,https://fbref.com/en/matches/efaafb09/Burnley-Watford-September-26-2016-Premier-League,
7,2016-10-02,16:30 ,Premier League,Matchweek 7,Sun,Home,L,0,1,Arsenal,33,"20,982",Tom Heaton,4-5-1,Craig Pawson,https://fbref.com/en/matches/28458ed0/Burnley-Arsenal-October-2-2016-Premier-League,
8,2016-10-16,16:00 ,Premier League,Matchweek 8,Sun,Away,L,1,3,Southampton,35,"29,040",Tom Heaton,4-5-1,Mike Dean,https://fbref.com/en/matches/3dc2b96f/Southampton-Burnley-October-16-2016-Premier-League,
9,2016-10-22,15:00 ,Premier League,Matchweek 9,Sat,Home,W,2,1,Everton,35,"21,416",Tom Heaton,4-4-1-1,Mike Jones,https://fbref.com/en/matches/df2644c1/Burnley-Everton-October-22-2016-Premier-League,
10,2016-10-29,15:00 ,Premier League,Matchweek 10,Sat,Away,D,0,0,Manchester Utd,28,"75,325",Tom Heaton,4-4-2,Mark Clattenburg,https://fbref.com/en/matches/0e6bb73d/Manchester-United-Burnley-October-29-2016-Premier-League,
11,2016-11-05,15:00 ,Premier League,Matchweek 11,Sat,Home,W,3,2,Crystal Palace,38,"19,196",Tom Heaton,4-4-1-1,Anthony Taylor,https://fbref.com/en/matches/5ca938b4/Burnley-Crystal-Palace-November-5-2016-Premier-League,
12,2016-11-21,20:00 ,Premier League,Matchweek 12,Mon,Away,L,0,4,West Brom,55,"23,016",Tom Heaton,4-4-1-1,Mike Jones,https://fbref.com/en/matches/44135ff8/West-Bromwich-Albion-Burnley-November-21-2016-Premier-League,
