,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,Unnamed: 20_level_0,Unnamed: 21_level_0,Unnamed: 22_level_0,Unnamed: 23_level_0,Unnamed: 24_level_0,Unnamed: 25_level_0,Unnamed: 26_level_0,Unnamed: 27_level_0
,Player,#,Nation,Pos,Age,Min,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP
0,Joshua King,17.0,no NOR,FW,25-272,90,10,20,50.0,235,34,2,7,28.6,6,10,60.0,2,2,100.0,0,0.0,0.0,0,0,0,0,1
1,Dan Gosling,4.0,eng ENG,"FW,CM",27-255,90,18,26,69.2,269,103,11,15,73.3,7,9,77.8,0,1,0.0,0,0.0,0.0,0,1,1,0,3
2,Junior Stanislas,19.0,eng ENG,DM,27-322,74,13,21,61.9,232,24,7,12,58.3,5,5,100.0,1,4,25.0,0,0.0,0.0,0,1,0,0,1
3,Jermain Defoe,18.0,eng ENG,FW,35-007,16,1,1,100.0,33,2,0,0,,0,0,,1,1,100.0,0,0.0,0.0,0,0,0,0,0
4,Andrew Surman,6.0,eng ENG,"DM,CM",31-055,90,21,26,80.8,453,134,12,12,100.0,4,5,80.0,5,9,55.6,0,0.0,0.0,0,2,0,0,0
5,Lewis Cook,16.0,eng ENG,"DM,CM",20-253,82,19,25,76.0,361,186,5,7,71.4,13,15,86.7,1,2,50.0,0,0.1,0.0,2,2,1,1,3
6,Lys Mousset,31.0,fr FRA,CB,21-248,8,1,2,50.0,6,0,1,1,100.0,0,0,,0,0,,0,0.0,0.0,0,0,0,0,0
7,Charlie Daniels,11.0,eng ENG,"WB,LB",31-037,90,28,38,73.7,475,209,18,22,81.8,7,10,70.0,3,6,50.0,0,0.0,0.0,0,1,0,0,1
8,Adam Smith,15.0,eng ENG,WB,26-168,74,20,24,83.3,384,164,8,8,100.0,8,9,88.9,3,6,50.0,0,0.1,0.0,1,2,1,1,1
9,Jordon Ibe,33.0,eng ENG,RB,21-310,16,5,9,55.6,88,61,2,3,66.7,2,5,40.0,1,1,100.0,0,0.1,0.1,1,2,1,0,2
10,Nathan Aké,5.0,nl NED,CB,22-238,90,19,26,73.1,357,263,5,9,55.6,13,15,86.7,1,2,50.0,0,0.0,0.0,0,3,0,0,2
11,Steve Cook,3.0,eng ENG,CB,26-178,90,9,15,60.0,232,67,0,0,,8,10,80.0,1,4,25.0,0,0.0,0.0,0,0,0,0,0
12,Simon Francis,2.0,eng ENG,CB,32-240,90,17,26,65.4,332,236,7,11,63.6,7,8,87.5,3,7,42.9,0,0.0,0.0,0,2,0,0,3
13,Asmir Begović,27.0,ba BIH,GK,30-116,90,9,30,30.0,395,350,1,1,100.0,2,2,100.0,6,27,22.2,0,0.0,0.0,0,0,0,0,0
14,14 Players,,,,,990,190,289,65.7,3852,1833,79,108,73.1,82,103,79.6,28,72,38.9,0,0.2,0.2,4,16,4,2,17
