,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,Unnamed: 20_level_0,Unnamed: 21_level_0,Unnamed: 22_level_0,Unnamed: 23_level_0,Unnamed: 24_level_0,Unnamed: 25_level_0,Unnamed: 26_level_0,Unnamed: 27_level_0
,Player,#,Nation,Pos,Age,Min,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP
0,Glenn Murray,17.0,eng ENG,FW,34-096,61,11,20,55.0,125,27,9,12,75.0,2,4,50.0,0,0,,0,0.0,0.0,0,1,0,0,1
1,Tomer Hemed,10.0,il ISR,FW,30-242,29,13,16,81.3,98,2,6,8,75.0,2,3,66.7,0,0,,0,0.0,0.0,0,1,0,0,0
2,Pascal Groß,13.0,de GER,FW,26-198,90,38,50,76.0,710,256,19,21,90.5,10,15,66.7,7,11,63.6,0,0.1,0.1,2,2,0,0,6
3,Solly March,20.0,eng ENG,LM,23-163,90,27,47,57.4,337,72,15,20,75.0,7,11,63.6,2,7,28.6,0,0.1,0.1,1,0,2,1,2
4,Davy Pröpper,24.0,nl NED,CM,26-119,90,41,47,87.2,873,193,10,12,83.3,24,26,92.3,5,6,83.3,0,0.0,0.0,0,4,0,0,5
5,Dale Stephens,6.0,eng ENG,CM,28-201,90,54,67,80.6,928,386,28,33,84.8,15,19,78.9,8,12,66.7,0,0.0,0.0,0,9,2,0,7
6,Anthony Knockaert,11.0,fr FRA,RM,26-040,90,46,50,92.0,592,109,25,26,96.2,13,14,92.9,2,3,66.7,0,0.0,0.0,0,3,0,0,1
7,Gaëtan Bong,3.0,cm CMR,LB,29-249,90,46,63,73.0,649,321,26,27,96.3,17,27,63.0,1,6,16.7,0,0.0,0.0,0,7,0,0,5
8,Lewis Dunk,5.0,eng ENG,CB,26-039,90,47,52,90.4,1112,330,15,15,100.0,18,19,94.7,13,17,76.5,0,0.0,0.0,0,0,0,0,1
9,Shane Duffy,22.0,ie IRL,CB,25-363,90,35,47,74.5,792,201,9,11,81.8,16,22,72.7,9,12,75.0,0,0.1,0.1,1,0,0,0,1
10,Bruno,2.0,es ESP,RB,37-090,90,48,63,76.2,934,339,17,19,89.5,17,21,81.0,10,13,76.9,0,0.0,0.0,0,3,0,0,3
11,Mathew Ryan,1.0,au AUS,GK,25-266,90,9,28,32.1,424,397,0,0,,2,2,100.0,7,26,26.9,0,0.0,0.0,0,1,0,0,0
12,12 Players,,,,,990,415,550,75.5,7574,2633,179,204,87.7,143,183,78.1,64,113,56.6,0,0.2,0.3,4,31,4,1,32
