,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Corner Kicks,Corner Kicks,Corner Kicks,Outcomes,Outcomes,Outcomes
,Player,#,Nation,Pos,Age,Min,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks
0,Chris Wood,11.0,nz NZL,FW,26-002,90,30,29,0,0,0,0,2,0,0,0,0,0,15,1,0
1,Scott Arfield,37.0,ca CAN,LW,29-038,90,43,41,0,0,0,0,1,0,0,0,0,0,26,2,3
2,Jóhann Berg Guðmundsson,17.0,is ISL,RW,27-043,90,41,36,4,1,0,0,10,0,3,2,1,0,20,1,2
3,Jeff Hendrick,13.0,ie IRL,AM,25-312,59,17,16,1,0,0,0,2,0,0,0,0,0,9,0,1
4,Ashley Barnes,10.0,eng ENG,AM,28-040,31,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0
5,Jack Cork,4.0,eng ENG,DM,28-167,90,43,43,0,0,0,0,0,0,0,0,0,0,37,0,0
6,Steven Defour,16.0,be BEL,DM,29-238,89,54,52,1,1,0,1,2,0,0,0,0,0,42,1,0
7,Ashley Westwood,18.0,eng ENG,DM,27-252,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,Stephen Ward,23.0,ie IRL,LB,32-111,90,52,44,8,0,0,0,5,8,0,0,0,0,29,0,2
9,James Tarkowski,5.0,eng ENG,CB,25-020,90,38,36,2,2,0,0,0,0,0,0,0,0,24,0,0
10,Kevin Long,28.0,ie IRL,CB,27-113,90,28,26,2,2,0,0,0,0,0,0,0,0,23,0,0
11,Phil Bardsley,26.0,sct SCO,RB,32-164,90,40,29,10,0,0,0,1,10,0,0,0,0,30,1,1
12,Nick Pope,29.0,eng ENG,GK,25-234,90,34,18,16,6,0,0,0,0,0,0,0,0,20,0,0
13,13 Players,,,,,990,426,376,44,12,0,1,23,18,3,2,1,0,275,6,9
