,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Tackles,Tackles,Tackles,Tackles,Tackles,Challenges,Challenges,Challenges,Challenges,Blocks,Blocks,Blocks,Unnamed: 18_level_0,Unnamed: 19_level_0,Unnamed: 20_level_0,Unnamed: 21_level_0
,Player,#,Nation,Pos,Age,Min,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err
0,Ashley Barnes,10.0,eng ENG,FW,28-117,90,0,0,0,0,0,0,2,0.0,2,0,0,0,0,0,0,0
1,Jeff Hendrick,13.0,ie IRL,FW,26-024,90,0,0,0,0,0,0,1,0.0,1,0,0,0,1,1,0,0
2,Aaron Lennon,25.0,eng ENG,LM,30-314,90,2,1,1,1,0,0,2,0.0,2,1,0,1,0,2,0,0
3,Ashley Westwood,18.0,eng ENG,CM,27-329,90,0,0,0,0,0,0,1,0.0,1,2,1,1,0,0,1,0
4,Jack Cork,4.0,eng ENG,CM,28-244,90,1,0,0,1,0,0,2,0.0,2,0,0,0,0,1,3,0
5,Jóhann Berg Guðmundsson,17.0,is ISL,RM,27-120,90,1,1,1,0,0,1,1,100.0,0,0,0,0,3,4,1,0
6,Stephen Ward,23.0,ie IRL,LB,32-188,90,0,0,0,0,0,0,0,,0,2,1,1,3,3,5,0
7,Ben Mee,6.0,eng ENG,CB,28-156,90,1,1,1,0,0,1,1,100.0,0,2,1,1,2,3,9,0
8,Kevin Long,28.0,ie IRL,CB,27-190,90,2,1,2,0,0,1,1,100.0,0,3,2,1,0,2,8,0
9,Matthew Lowton,2.0,eng ENG,RB,28-260,90,1,1,1,0,0,0,1,0.0,1,0,0,0,2,3,4,0
10,Nick Pope,29.0,eng ENG,GK,25-311,90,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0
11,11 Players,,,,,990,8,5,6,2,0,3,12,25.0,9,10,5,5,11,19,32,0
