,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Aerial Duels,Aerial Duels,Aerial Duels
,Player,#,Nation,Pos,Age,Min,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
0,Álvaro Morata,9.0,es ESP,FW,24-308,77,0,0,0,0,1,0,1,0,0,0,0,0,2,2,1,66.7
1,Michy Batshuayi,23.0,be BEL,FW,23-329,13,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0.0
2,Pedro,11.0,es ESP,AM,30-030,74,0,0,0,0,1,0,1,0,0,0,0,0,6,0,1,0.0
3,Tiemoué Bakayoko,14.0,fr FRA,"AM,CM",23-010,16,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,
4,Willian,22.0,br BRA,AM,29-018,90,0,0,0,0,0,0,3,0,1,0,0,0,3,0,0,
5,N'Golo Kanté,7.0,fr FRA,CM,26-151,90,0,0,0,3,0,0,0,2,3,0,0,0,5,0,0,
6,Cesc Fàbregas,4.0,es ESP,"CM,AM",30-115,90,0,0,0,1,1,0,2,0,0,0,0,0,4,0,1,0.0
7,Marcos Alonso,3.0,es ESP,WB,26-242,90,0,0,0,2,1,0,4,0,4,0,0,0,11,3,1,75.0
8,Victor Moses,15.0,ng NGA,WB,26-258,88,1,0,0,3,0,0,3,1,0,0,0,0,5,1,1,50.0
9,Andreas Christensen,27.0,dk DEN,CB,21-139,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,100.0
10,Antonio Rüdiger,2.0,de GER,CB,24-177,90,0,0,0,0,1,0,0,1,0,0,0,0,9,3,2,60.0
11,David Luiz,30.0,br BRA,CB,30-127,90,0,0,0,1,2,0,0,0,0,0,0,0,4,2,2,50.0
12,César Azpilicueta,28.0,es ESP,"CB,WB",27-364,90,1,0,0,1,0,0,4,2,0,0,0,0,3,3,0,100.0
13,Thibaut Courtois,13.0,be BEL,GK,25-108,90,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,
14,14 Players,,,,,990,2,0,0,12,7,0,18,7,9,0,0,0,57,15,10,60.0
