,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Tackles,Tackles,Tackles,Tackles,Tackles,Challenges,Challenges,Challenges,Challenges,Blocks,Blocks,Blocks,Unnamed: 18_level_0,Unnamed: 19_level_0,Unnamed: 20_level_0,Unnamed: 21_level_0
,Player,#,Nation,Pos,Age,Min,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err
0,Wilfried Zaha,11.0,ci CIV,FW,25-043,90,0,0,0,0,0,0,0,,0,1,0,1,0,0,0,0
1,Andros Townsend,10.0,eng ENG,"FW,RM",26-160,84,0,0,0,0,0,0,2,0.0,2,0,0,0,1,1,0,0
2,Patrick van Aanholt,3.0,nl NED,LM,27-116,6,0,0,0,0,0,0,1,0.0,1,0,0,0,1,1,0,0
3,Ruben Loftus-Cheek,8.0,eng ENG,"LM,RM",21-334,90,0,0,0,0,0,0,1,0.0,1,1,0,1,1,1,2,0
4,Luka Milivojević,4.0,rs SRB,CM,26-260,90,5,2,2,3,0,2,6,33.3,4,2,0,2,3,8,2,0
5,Yohan Cabaye,7.0,fr FRA,CM,31-343,75,4,1,3,1,0,0,1,0.0,1,4,1,3,4,8,0,1
6,Bakary Sako,26.0,ml MLI,"FW,CM",29-241,15,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
7,James McArthur,18.0,sct SCO,"RM,CM",30-077,90,2,2,1,1,0,1,7,14.3,6,1,0,1,0,2,1,0
8,Jeffrey Schlupp,15.0,gh GHA,LB,25-000,90,4,3,4,0,0,2,5,40.0,3,2,1,1,0,4,6,0
9,Scott Dann,6.0,eng ENG,CB,30-312,90,0,0,0,0,0,0,1,0.0,1,0,0,0,2,2,6,0
10,James Tomkins,5.0,eng ENG,CB,28-269,90,3,3,2,1,0,2,2,100.0,0,0,0,0,3,6,3,0
11,Martin Kelly,34.0,eng ENG,RB,27-240,90,3,3,2,1,0,3,4,75.0,1,1,0,1,1,4,2,0
12,Julián Speroni,1.0,ar ARG,GK,38-219,90,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0
13,13 Players,,,,,990,21,14,14,7,0,10,30,33.3,20,12,2,10,16,37,23,1
