,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,SCA,SCA,Passes,Passes,Passes,Passes,Carries,Carries,Take-Ons,Take-Ons
,Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ
0,Christian Benteke,17.0,be BEL,FW,27-092,90,0,1,0,0,3,1,0,0,46,3,0,1,0.2,0.2,0.1,2,2,16,22,72.7,0,19,1,1,0
1,Alexander Sørloth,9.0,no NOR,"FW,LM",22-090,90,0,0,0,0,2,1,0,0,43,0,0,0,0.1,0.1,0.1,4,0,16,32,50.0,1,29,4,4,4
2,Jeffrey Schlupp,15.0,gh GHA,LM,25-072,79,0,1,0,0,0,0,0,0,33,2,1,3,0.0,0.0,0.1,3,1,16,23,69.6,2,24,3,2,2
3,Jaïro Riedewald,44.0,nl NED,CM,21-177,11,0,0,0,0,0,0,0,0,9,2,0,0,0.0,0.0,0.0,0,0,4,7,57.1,1,5,0,0,0
4,James McArthur,18.0,sct SCO,CM,30-149,90,0,0,0,0,0,0,0,0,47,1,2,1,0.0,0.0,0.0,0,0,27,34,79.4,3,29,0,3,3
5,Luka Milivojević,4.0,rs SRB,"CM,DM",26-332,90,0,0,0,0,0,0,0,0,49,2,1,1,0.0,0.0,0.0,2,1,34,45,75.6,4,25,0,1,1
6,Andros Townsend,10.0,eng ENG,RM,26-232,90,1,0,0,0,3,1,1,0,55,5,3,2,0.2,0.2,0.1,5,0,21,31,67.7,3,28,6,6,5
7,Patrick van Aanholt,3.0,nl NED,LB,27-188,90,1,0,0,0,1,1,0,0,44,1,2,2,0.1,0.1,0.1,1,0,23,35,65.7,3,26,1,0,0
8,James Tomkins,5.0,eng ENG,CB,28-341,90,0,0,0,0,1,0,0,0,32,0,4,0,0.1,0.1,0.0,0,0,9,16,56.3,1,10,0,0,0
9,Martin Kelly,34.0,eng ENG,CB,27-312,90,0,0,0,0,0,0,0,0,23,1,1,2,0.0,0.0,0.0,1,0,6,16,37.5,1,11,0,0,0
10,Aaron Wan-Bissaka,29.0,eng ENG,RB,20-099,90,0,0,0,0,0,0,0,0,47,2,4,4,0.0,0.0,0.1,1,0,21,30,70.0,3,18,2,0,0
11,Wayne Hennessey,13.0,wls WAL,GK,31-040,90,0,0,0,0,0,0,0,0,28,0,0,0,0.0,0.0,0.0,0,0,7,24,29.2,0,9,0,0,0
12,12 Players,,,,,990,2,2,0,0,10,4,1,0,456,19,18,16,0.6,0.6,0.5,19,4,200,315,63.5,22,233,17,17,15
