,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Corner Kicks,Corner Kicks,Corner Kicks,Outcomes,Outcomes,Outcomes
,Player,#,Nation,Pos,Age,Min,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks
0,Dominic Calvert-Lewin,29.0,eng ENG,FW,20-277,90,24,23,1,0,0,0,1,0,0,0,0,0,16,0,0
1,Gylfi Sigurðsson,18.0,is ISL,LW,28-101,90,39,32,6,1,0,0,9,0,5,4,1,0,24,1,3
2,Aaron Lennon,12.0,eng ENG,RW,30-246,78,21,21,0,0,0,0,1,0,0,0,0,0,12,0,3
3,Ademola Lookman,31.0,ng NGA,RW,20-059,12,5,5,0,0,0,0,0,0,0,0,0,0,3,0,0
4,Wayne Rooney,10.0,eng ENG,AM,32-055,88,44,42,2,1,0,0,2,0,0,0,0,0,30,0,2
5,Sandro Ramírez,9.0,es ESP,AM,22-162,2,2,1,1,0,0,0,0,0,1,0,0,0,2,0,0
6,Morgan Schneiderlin,2.0,fr FRA,DM,28-040,60,39,39,0,0,0,1,0,0,0,0,0,0,36,0,0
7,Tom Davies,26.0,eng ENG,DM,19-171,30,13,13,0,0,0,0,0,0,0,0,0,0,12,0,0
8,Idrissa Gana Gueye,17.0,sn SEN,DM,28-083,90,71,71,0,0,0,1,0,0,0,0,0,0,60,0,0
9,Cuco Martina,15.0,cw CUW,LB,28-084,90,64,51,13,0,0,0,2,13,0,0,0,0,52,0,0
10,Ashley Williams,5.0,wls WAL,CB,33-117,90,34,32,2,2,0,0,0,0,0,0,0,0,32,0,0
11,Mason Holgate,30.0,eng ENG,CB,21-057,90,56,54,2,2,0,2,0,0,0,0,0,0,45,0,0
12,Jonjoe Kenny,43.0,eng ENG,RB,20-278,90,48,35,13,1,0,0,0,12,0,0,0,0,34,0,1
13,Jordan Pickford,1.0,eng ENG,GK,23-286,90,28,19,9,2,0,0,0,0,0,0,0,0,17,0,0
14,14 Players,,,,,990,488,438,49,9,0,4,15,25,6,4,1,0,375,1,9
