,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,Unnamed: 20_level_0,Unnamed: 21_level_0,Unnamed: 22_level_0,Unnamed: 23_level_0,Unnamed: 24_level_0,Unnamed: 25_level_0,Unnamed: 26_level_0,Unnamed: 27_level_0
,Player,#,Nation,Pos,Age,Min,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP
0,Laurent Depoitre,20.0,be BEL,FW,28-346,90,19,25,76.0,356,32,5,9,55.6,12,14,85.7,2,2,100.0,0,0.0,0.0,0,1,0,0,1
1,Rajiv van La Parra,17.0,nl NED,"LW,CM,LM",26-167,90,27,43,62.8,434,72,14,19,73.7,13,16,81.3,0,5,0.0,0,0.0,0.0,0,0,1,0,4
2,Elias Kachunga,9.0,cd COD,"RW,RM",25-210,60,12,18,66.7,176,1,9,12,75.0,2,5,40.0,1,1,100.0,0,0.0,0.0,0,1,0,0,1
3,Collin Quaner,23.0,de GER,WB,26-153,30,14,19,73.7,219,79,7,9,77.8,7,9,77.8,0,0,,0,0.1,0.0,1,1,1,1,2
4,Tom Ince,22.0,eng ENG,"AM,CB,CM",25-292,90,30,37,81.1,532,90,14,16,87.5,13,15,86.7,3,5,60.0,0,0.1,0.1,2,3,1,1,2
5,Danny Williams,19.0,us USA,DM,28-255,45,26,31,83.9,555,94,6,8,75.0,18,20,90.0,2,3,66.7,0,0.0,0.0,0,2,0,0,2
6,Steve Mounié,24.0,bj BEN,FW,23-050,45,9,11,81.8,156,20,3,4,75.0,5,6,83.3,0,0,,0,0.0,0.1,0,1,0,0,1
7,Aaron Mooy,10.0,au AUS,"CM,DM",27-064,90,74,97,76.3,1444,438,27,31,87.1,38,52,73.1,8,12,66.7,0,0.4,0.3,3,7,0,0,8
8,Scott Malone,3.0,eng ENG,"LB,WB",26-238,90,61,74,82.4,1439,461,16,17,94.1,33,36,91.7,12,21,57.1,0,0.3,0.2,4,10,2,1,15
9,Martin Cranie,14.0,eng ENG,CB,31-053,60,43,53,81.1,1002,315,6,8,75.0,30,32,93.8,7,13,53.8,0,0.0,0.0,0,4,0,0,1
10,Abdelhamid Sabiri,11.0,ma MAR,CM,20-355,30,13,19,68.4,208,16,8,9,88.9,4,8,50.0,1,2,50.0,0,0.0,0.0,1,0,0,0,1
11,Mathias Jørgensen,25.0,dk DEN,CB,27-209,90,67,78,85.9,1347,331,18,18,100.0,38,44,86.4,10,15,66.7,0,0.0,0.0,1,7,0,0,5
12,Florent Hadergjonaj,33.0,xk KVX,"RB,CB",23-110,90,48,64,75.0,881,295,20,21,95.2,23,27,85.2,5,15,33.3,0,0.1,0.1,2,2,3,2,4
13,Jonas Lössl,1.0,dk DEN,GK,28-290,90,33,42,78.6,985,741,6,6,100.0,12,12,100.0,15,24,62.5,0,0.0,0.0,0,3,0,0,1
14,14 Players,,,,,990,476,611,77.9,9734,2985,159,187,85.0,248,296,83.8,66,118,55.9,0,1.1,0.9,14,42,8,5,48
