,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Touches,Touches,Touches,Touches,Touches,Touches,Touches,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Receiving,Receiving
,Player,#,Nation,Pos,Age,Min,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR
0,Laurent Depoitre,20.0,be BEL,FW,28-354,90,31,0,4,17,12,2,31,6,3,50.0,3,50.0,15,104,87,3,1,1,3,5,20,2
1,Rajiv van La Parra,17.0,nl NED,"LW,LM",26-175,89,18,0,11,4,4,0,18,4,1,25.0,3,75.0,14,108,47,0,0,0,1,1,6,1
2,Tom Ince,22.0,eng ENG,RW,25-300,80,17,0,5,4,9,1,17,2,1,50.0,1,50.0,11,59,46,1,0,1,1,0,10,2
3,Collin Quaner,23.0,de GER,"RM,RW",26-161,10,4,0,0,1,3,0,4,2,2,100.0,0,0.0,3,25,16,1,0,0,0,0,3,0
4,Aaron Mooy,10.0,au AUS,CM,27-072,90,34,2,13,10,11,1,34,1,0,0.0,1,100.0,18,98,40,1,0,0,1,1,14,1
5,Jonathan Hogg,6.0,eng ENG,CM,28-355,85,31,5,18,11,2,0,31,1,0,0.0,1,100.0,13,40,21,0,1,1,2,0,9,0
6,Steve Mounié,24.0,bj BEN,FW,23-058,5,4,0,0,1,3,0,4,0,0,,0,,1,8,5,0,1,0,0,0,4,2
7,Danny Williams,19.0,us USA,CM,28-263,90,29,2,14,11,5,1,29,1,1,100.0,0,0.0,18,68,21,0,0,0,3,3,7,0
8,Scott Malone,3.0,eng ENG,LB,26-246,73,24,6,11,5,8,0,24,2,0,0.0,2,100.0,6,27,8,0,0,0,0,0,4,1
9,Chris Löwe,15.0,de GER,LB,28-224,17,11,0,5,6,0,0,11,0,0,,0,,3,3,1,0,0,0,0,0,3,0
10,Christopher Schindler,26.0,de GER,CB,27-211,90,31,11,24,4,3,2,31,0,0,,0,,7,24,13,0,0,0,0,0,8,0
11,Mathias Jørgensen,25.0,dk DEN,CB,27-217,90,21,3,14,5,2,1,21,0,0,,0,,4,12,9,0,0,0,0,0,6,0
12,Tommy Smith,2.0,eng ENG,RB,25-226,90,35,5,13,11,11,0,35,0,0,,0,,11,43,29,1,0,0,1,0,11,2
13,Jonas Lössl,1.0,dk DEN,GK,28-298,90,41,33,39,2,0,0,41,0,0,,0,,10,144,112,0,0,0,0,0,6,0
14,14 Players,,,,,989,331,67,171,92,73,8,331,19,8,42.1,11,57.9,134,763,455,7,3,3,12,10,111,11
