,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Aerial Duels,Aerial Duels,Aerial Duels
,Player,#,Nation,Pos,Age,Min,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
0,Steve Mounié,24.0,bj BEN,FW,23-113,90,0,0,0,4,1,0,0,0,0,0,0,0,0,5,23,17.9
1,Rajiv van La Parra,17.0,nl NED,LW,26-230,90,0,0,0,2,4,0,1,1,0,0,0,0,3,2,1,66.7
2,Tom Ince,22.0,eng ENG,RW,25-355,55,0,0,0,0,2,0,2,0,2,0,0,0,3,0,3,0.0
3,Collin Quaner,23.0,de GER,RW,26-216,35,0,0,0,0,1,0,0,0,1,0,0,0,0,1,2,33.3
4,Alex Pritchard,21.0,eng ENG,AM,24-262,59,0,0,0,0,2,0,1,0,0,0,0,0,3,0,2,0.0
5,Abdelhamid Sabiri,11.0,ma MAR,AM,21-053,31,0,0,0,1,2,0,0,0,1,0,0,0,2,2,3,40.0
6,Aaron Mooy,10.0,au AUS,DM,27-127,90,0,0,0,2,0,0,5,0,2,0,0,0,4,1,5,16.7
7,Jonathan Hogg,6.0,eng ENG,DM,29-045,78,1,0,0,1,2,0,0,0,1,0,0,0,9,2,0,100.0
8,Laurent Depoitre,20.0,be BEL,DM,29-044,12,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,14.3
9,Scott Malone,3.0,eng ENG,LB,26-301,90,0,0,0,0,1,0,2,3,1,0,0,0,3,2,1,66.7
10,Christopher Schindler,26.0,de GER,CB,27-266,90,0,0,0,1,2,0,0,0,1,0,0,0,3,10,5,66.7
11,Mathias Jørgensen,25.0,dk DEN,CB,27-272,90,0,0,0,0,0,0,0,2,2,0,0,0,7,6,5,54.5
12,Florent Hadergjonaj,33.0,xk KVX,RB,23-173,90,0,0,0,2,0,0,6,0,0,0,0,0,8,1,4,20.0
13,Jonas Lössl,1.0,dk DEN,GK,28-353,90,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,
14,14 Players,,,,,990,1,0,0,13,17,0,17,6,11,0,0,0,48,33,60,35.5
