,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Aerial Duels,Aerial Duels,Aerial Duels
,Player,#,Nation,Pos,Age,Min,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
0,Jamie Vardy,9.0,eng ENG,FW,30-317,90,0,0,0,1,0,0,2,0,0,0,0,0,1,3,2,60.0
1,Riyad Mahrez,26.0,dz ALG,FW,26-276,69,0,0,0,2,2,1,1,0,0,0,0,0,3,1,2,33.3
2,Ben Chilwell,3.0,eng ENG,LM,20-338,21,0,0,0,1,0,0,1,0,0,0,0,0,2,1,3,25.0
3,Demarai Gray,7.0,jm JAM,"LM,FW",21-149,89,1,0,0,0,1,0,4,0,2,0,0,0,5,0,2,0.0
4,Islam Slimani,19.0,dz ALG,FW,29-159,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0.0
5,Vicente Iborra,21.0,es ESP,CM,29-312,90,0,0,0,0,3,0,0,0,2,0,0,0,10,1,3,25.0
6,Wilfred Ndidi,25.0,ng NGA,CM,20-343,90,0,0,0,2,1,0,0,1,2,0,0,0,9,4,4,50.0
7,Marc Albrighton,11.0,eng ENG,RM,28-006,90,0,0,0,0,1,0,6,0,1,0,0,0,6,0,1,0.0
8,Christian Fuchs,28.0,at AUT,LB,31-231,90,0,0,0,0,0,0,2,6,3,0,0,0,3,3,2,60.0
9,Harry Maguire,15.0,eng ENG,CB,24-264,90,0,0,0,0,1,0,0,0,2,0,0,0,3,3,0,100.0
10,Wes Morgan,5.0,jm JAM,CB,33-307,90,0,0,0,2,0,0,0,0,2,0,0,0,3,4,2,66.7
11,Danny Simpson,2.0,eng ENG,RB,30-324,90,0,0,0,2,0,0,2,2,2,0,0,0,9,2,3,40.0
12,Kasper Schmeichel,1.0,dk DEN,GK,31-019,90,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,100.0
13,13 Players,,,,,990,1,0,0,12,9,1,18,9,16,0,0,0,56,23,26,46.9
