,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,Unnamed: 20_level_0,Unnamed: 21_level_0,Unnamed: 22_level_0,Unnamed: 23_level_0,Unnamed: 24_level_0,Unnamed: 25_level_0,Unnamed: 26_level_0,Unnamed: 27_level_0
,Player,#,Nation,Pos,Age,Min,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP
0,Daniel Sturridge,15.0,eng ENG,FW,28-085,65,17,21,81.0,231,36,10,11,90.9,5,6,83.3,0,0,,0,0.1,0.0,4,0,0,0,1
1,Georginio Wijnaldum,5.0,nl NED,LM,27-014,25,12,14,85.7,201,26,7,8,87.5,4,5,80.0,1,1,100.0,0,0.0,0.0,0,0,0,0,0
2,Alex Oxlade-Chamberlain,21.0,eng ENG,"LW,RW",24-102,88,25,34,73.5,457,101,11,13,84.6,11,16,68.8,2,2,100.0,1,0.3,0.1,1,1,2,0,5
3,Sadio Mané,19.0,sn SEN,RW,25-229,2,1,1,100.0,3,0,0,0,,0,0,,0,0,,0,0.0,0.0,0,0,0,0,0
4,Mohamed Salah,11.0,eg EGY,"RW,FW",25-163,90,32,44,72.7,463,109,21,27,77.8,7,10,70.0,2,2,100.0,0,0.1,0.2,2,4,1,0,4
5,Philippe Coutinho,10.0,br BRA,"LM,LW",25-166,88,43,56,76.8,705,250,23,26,88.5,13,20,65.0,5,7,71.4,0,0.3,0.3,3,6,3,0,7
6,Adam Lallana,20.0,eng ENG,LW,29-199,2,3,5,60.0,32,5,3,4,75.0,0,0,,0,1,0.0,0,0.0,0.0,0,1,0,0,0
7,Jordan Henderson,14.0,eng ENG,CM,27-161,90,58,67,86.6,1035,168,26,27,96.3,25,29,86.2,6,9,66.7,0,0.0,0.0,0,4,1,0,3
8,James Milner,7.0,eng ENG,RM,31-325,90,56,66,84.8,1017,372,23,24,95.8,26,31,83.9,7,10,70.0,0,0.1,0.1,2,11,2,0,10
9,Alberto Moreno,18.0,es ESP,LB,25-143,90,60,72,83.3,1136,345,28,30,93.3,25,25,100.0,7,16,43.8,0,0.0,0.0,0,6,1,1,3
10,Ragnar Klavan,17.0,ee EST,CB,32-026,90,60,62,96.8,1164,380,17,17,100.0,37,39,94.9,5,5,100.0,0,0.0,0.0,0,5,0,0,3
11,Joël Matip,32.0,cm CMR,CB,26-109,90,63,66,95.5,1360,531,8,9,88.9,44,44,100.0,9,11,81.8,0,0.0,0.0,1,1,0,0,4
12,Joe Gomez,12.0,eng ENG,RB,20-186,90,76,90,84.4,1167,493,42,42,100.0,29,37,78.4,4,9,44.4,0,0.0,0.0,0,10,0,0,17
13,Simon Mignolet,22.0,be BEL,GK,29-264,90,30,34,88.2,803,579,2,2,100.0,20,20,100.0,8,12,66.7,0,0.0,0.0,0,0,0,0,0
14,14 Players,,,,,990,536,632,84.8,9774,3395,221,240,92.1,246,282,87.2,56,85,65.9,1,1.0,0.8,13,49,10,1,57
