,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Tackles,Tackles,Tackles,Tackles,Tackles,Challenges,Challenges,Challenges,Challenges,Blocks,Blocks,Blocks,Unnamed: 18_level_0,Unnamed: 19_level_0,Unnamed: 20_level_0,Unnamed: 21_level_0
,Player,#,Nation,Pos,Age,Min,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err
0,Roberto Firmino,9.0,br BRA,FW,26-076,75,1,1,0,1,0,0,0,,0,1,0,1,0,1,0,0
1,Dominic Solanke,29.0,eng ENG,FW,20-094,15,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0
2,Philippe Coutinho,10.0,br BRA,LW,25-188,86,1,1,0,0,1,0,2,0.0,2,1,0,1,2,3,1,0
3,Danny Ings,28.0,eng ENG,FW,25-147,4,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
4,Mohamed Salah,11.0,eg EGY,RW,25-185,70,0,0,0,0,0,0,0,,0,2,0,2,0,0,0,0
5,Adam Lallana,20.0,eng ENG,"RM,LM",29-221,20,0,0,0,0,0,0,0,,0,0,0,0,1,1,0,0
6,Georginio Wijnaldum,5.0,nl NED,"LM,CM",27-036,90,1,0,0,0,1,1,1,100.0,0,0,0,0,2,3,2,0
7,Jordan Henderson,14.0,eng ENG,CM,27-183,90,2,2,0,2,0,0,0,,0,1,0,1,1,3,0,0
8,Alex Oxlade-Chamberlain,21.0,eng ENG,"RM,RW",24-124,90,4,3,0,2,2,0,1,0.0,1,1,0,1,3,7,0,0
9,Andrew Robertson,26.0,sct SCO,LB,23-281,90,1,0,1,0,0,0,0,,0,3,1,2,4,5,7,0
10,Ragnar Klavan,17.0,ee EST,CB,32-048,90,0,0,0,0,0,0,0,,0,2,1,1,3,3,6,0
11,Dejan Lovren,6.0,hr CRO,CB,28-165,90,1,1,0,1,0,1,2,50.0,1,0,0,0,1,2,3,0
12,Joe Gomez,12.0,eng ENG,RB,20-208,90,1,0,0,1,0,0,1,0.0,1,0,0,0,4,5,0,0
13,Simon Mignolet,22.0,be BEL,GK,29-286,90,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0
14,14 Players,,,,,990,12,8,1,7,4,2,8,25.0,6,11,2,9,21,33,20,0
