,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,Unnamed: 20_level_0,Unnamed: 21_level_0,Unnamed: 22_level_0,Unnamed: 23_level_0,Unnamed: 24_level_0,Unnamed: 25_level_0,Unnamed: 26_level_0,Unnamed: 27_level_0
,Player,#,Nation,Pos,Age,Min,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP
0,Sergio Agüero,10.0,ar ARG,FW,29-272,81,28,35,80.0,286,34,23,25,92.0,4,7,57.1,0,1,0.0,1,0.3,0.0,1,2,0,0,2
1,Yaya Touré,42.0,ci CIV,"CM,FW",34-292,9,9,9,100.0,133,17,5,5,100.0,2,2,100.0,1,1,100.0,0,0.0,0.0,0,0,0,0,0
2,Leroy Sané,19.0,de GER,"LW,LM",22-049,90,34,36,94.4,434,91,21,23,91.3,10,10,100.0,0,0,,1,0.0,0.1,1,0,2,0,3
3,Bernardo Silva,20.0,pt POR,"RW,RM",23-203,90,29,39,74.4,407,89,18,21,85.7,8,11,72.7,2,4,50.0,0,0.0,0.0,0,0,1,0,2
4,David Silva,21.0,es ESP,LM,32-052,86,46,58,79.3,580,187,33,39,84.6,11,16,68.8,1,1,100.0,0,0.0,0.0,0,1,0,0,4
5,Gabriel Jesus,33.0,br BRA,FW,20-332,4,1,2,50.0,15,1,1,1,100.0,0,1,0.0,0,0,,0,0.0,0.0,0,0,0,0,0
6,İlkay Gündoğan,8.0,de GER,CM,27-128,90,67,73,91.8,991,244,36,39,92.3,25,27,92.6,2,3,66.7,0,0.1,0.0,1,4,0,0,4
7,Kevin De Bruyne,17.0,be BEL,"RM,FW",26-246,90,53,68,77.9,777,173,26,32,81.3,18,20,90.0,3,7,42.9,0,0.6,0.5,2,4,3,0,6
8,Danilo,3.0,br BRA,"LB,RB",26-229,90,62,69,89.9,1089,268,28,30,93.3,27,29,93.1,5,6,83.3,0,0.0,0.0,0,1,0,0,4
9,Nicolás Otamendi,30.0,ar ARG,CB,30-017,90,67,78,85.9,1264,472,24,24,100.0,36,41,87.8,4,8,50.0,0,0.0,0.0,0,2,0,0,1
10,Vincent Kompany,4.0,be BEL,CB,31-325,90,82,95,86.3,1485,641,36,42,85.7,35,39,89.7,8,10,80.0,0,0.0,0.0,0,3,0,0,3
11,Kyle Walker,2.0,eng ENG,RB,27-277,71,52,64,81.3,883,193,23,26,88.5,21,24,87.5,6,9,66.7,1,0.4,0.3,1,2,0,0,1
12,Oleksandr Zinchenko,35.0,ua UKR,LB,21-076,19,27,30,90.0,273,91,19,21,90.5,5,5,100.0,0,0,,0,0.0,0.0,0,0,0,0,0
13,Ederson,31.0,br BRA,GK,24-196,90,27,31,87.1,776,605,10,10,100.0,9,9,100.0,8,12,66.7,0,0.0,0.0,0,1,0,0,0
14,14 Players,,,,,990,584,687,85.0,9393,3106,303,338,89.6,211,241,87.6,40,62,64.5,3,1.4,1.0,6,20,6,0,30
