,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Touches,Touches,Touches,Touches,Touches,Touches,Touches,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Receiving,Receiving
,Player,#,Nation,Pos,Age,Min,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR
0,Dwight Gayle,9.0,eng ENG,FW,27-046,90,25,2,4,12,9,1,25,0,0,,0,,11,27,10,0,0,0,3,2,15,1
1,Ayoze Pérez,17.0,es ESP,AM,24-126,61,28,1,7,8,13,1,28,0,0,,0,,21,85,62,1,1,1,3,3,19,3
2,Isaac Hayden,14.0,eng ENG,"CM,AM",22-255,29,14,1,4,9,1,0,14,0,0,,0,,6,16,4,1,0,0,0,0,5,0
3,Jacob Murphy,7.0,eng ENG,AM,22-281,90,39,2,3,18,19,1,39,5,4,80.0,0,0.0,29,218,67,2,1,0,2,2,31,10
4,Mikel Merino,23.0,es ESP,CM,21-163,84,67,4,14,42,13,1,67,1,0,0.0,1,100.0,34,202,135,2,3,0,0,2,36,0
5,DeAndre Yedlin,22.0,us USA,AM,24-146,6,5,0,0,2,3,1,5,0,0,,0,,4,10,8,0,0,0,1,0,4,1
6,Mohamed Diamé,10.0,sn SEN,"CM,AM",30-171,74,42,1,7,32,3,0,42,0,0,,0,,31,139,56,2,1,0,2,5,29,1
7,Jonjo Shelvey,8.0,eng ENG,"AM,CM",25-278,16,16,0,4,9,5,0,16,0,0,,0,,15,77,40,0,2,0,0,0,14,0
8,Matt Ritchie,11.0,sct SCO,WB,28-083,90,71,2,20,34,18,0,71,2,1,50.0,1,50.0,38,140,65,2,2,0,0,0,38,1
9,Javier Manquillo,19.0,es ESP,WB,23-211,90,46,4,12,21,13,0,46,2,1,50.0,1,50.0,19,64,29,0,2,0,1,0,23,3
10,Ciaran Clark,2.0,ie IRL,CB,28-067,90,59,7,33,23,3,1,59,0,0,,0,,36,141,81,2,1,0,0,0,37,0
11,Florian Lejeune,20.0,fr FRA,CB,26-196,90,48,9,38,9,1,1,48,0,0,,0,,26,95,34,0,0,0,1,0,26,0
12,Chancel Mbemba,18.0,cd COD,CB,23-116,90,53,7,20,31,2,0,53,0,0,,0,,28,162,121,2,1,0,0,0,32,0
13,Karl Darlow,26.0,eng ENG,GK,27-055,90,35,31,35,0,0,0,35,0,0,,0,,19,148,88,0,0,0,0,0,9,0
14,14 Players,,,,,990,548,71,201,250,103,7,548,10,6,60.0,3,30.0,317,1524,800,14,14,1,13,14,318,20
