,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Tackles,Tackles,Tackles,Tackles,Tackles,Challenges,Challenges,Challenges,Challenges,Blocks,Blocks,Blocks,Unnamed: 18_level_0,Unnamed: 19_level_0,Unnamed: 20_level_0,Unnamed: 21_level_0
,Player,#,Nation,Pos,Age,Min,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err
0,Dwight Gayle,9.0,eng ENG,FW,27-180,62,0,0,0,0,0,0,0,,0,2,0,2,0,0,1,0
1,Islam Slimani,13.0,dz ALG,FW,29-301,28,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0
2,Ayoze Pérez,17.0,es ESP,FW,24-260,78,3,1,1,0,2,2,2,100.0,0,0,0,0,1,4,0,0
3,Joselu,21.0,es ESP,FW,28-019,12,1,1,0,1,0,1,2,50.0,1,0,0,0,0,1,1,0
4,Kenedy,15.0,br BRA,LM,22-066,90,4,3,3,1,0,1,6,16.7,5,1,1,0,1,5,3,0
5,Jonjo Shelvey,8.0,eng ENG,CM,26-047,90,2,2,1,1,0,0,1,0.0,1,2,0,2,4,6,4,0
6,Mohamed Diamé,10.0,sn SEN,CM,30-305,90,5,4,2,3,0,0,1,0.0,1,1,0,1,5,10,1,1
7,Matt Ritchie,11.0,sct SCO,RM,28-217,85,2,1,1,1,0,0,0,,0,2,1,1,1,3,0,0
8,Jacob Murphy,7.0,eng ENG,RM,23-050,5,1,1,1,0,0,1,1,100.0,0,0,0,0,0,1,1,0
9,Paul Dummett,3.0,wls WAL,LB,26-201,90,2,2,2,0,0,2,2,100.0,0,1,0,1,0,2,5,0
10,Florian Lejeune,20.0,fr FRA,CB,26-330,90,1,0,1,0,0,0,0,,0,1,1,0,1,2,5,0
11,Jamaal Lascelles,6.0,eng ENG,CB,24-155,90,0,0,0,0,0,0,0,,0,1,1,0,0,0,6,0
12,DeAndre Yedlin,22.0,us USA,RB,24-280,90,1,1,0,0,1,1,2,50.0,1,0,0,0,2,3,4,0
13,Martin Dúbravka,12.0,sk SVK,GK,29-090,90,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,1
14,14 Players,,,,,990,22,16,12,7,3,8,17,47.1,9,11,4,7,15,37,32,2
