,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,Unnamed: 20_level_0,Unnamed: 21_level_0,Unnamed: 22_level_0,Unnamed: 23_level_0,Unnamed: 24_level_0,Unnamed: 25_level_0,Unnamed: 26_level_0,Unnamed: 27_level_0
,Player,#,Nation,Pos,Age,Min,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP
0,Joselu,21.0,es ESP,FW,27-188,78,9,21,42.9,174,40,6,12,50.0,1,6,16.7,2,3,66.7,0,0.0,0.0,0,2,0,0,0
1,Dwight Gayle,9.0,eng ENG,FW,26-349,12,1,2,50.0,11,0,1,2,50.0,0,0,,0,0,,0,0.0,0.0,0,0,0,0,0
2,Christian Atsu,30.0,gh GHA,LW,25-264,90,15,19,78.9,161,23,9,10,90.0,4,5,80.0,0,1,0.0,0,0.0,0.0,1,1,0,0,1
3,Matt Ritchie,11.0,sct SCO,RW,28-021,90,24,37,64.9,355,76,13,14,92.9,6,11,54.5,3,10,30.0,0,0.0,0.1,0,1,0,0,3
4,Ayoze Pérez,17.0,es ESP,AM,24-064,89,15,19,78.9,191,40,9,9,100.0,4,7,57.1,0,1,0.0,0,0.0,0.0,0,1,0,0,2
5,Mohamed Diamé,10.0,sn SEN,AM,30-109,1,0,1,0.0,0,0,0,0,,0,0,,0,0,,0,0.0,0.0,0,0,0,0,0
6,Mikel Merino,23.0,es ESP,DM,21-101,73,23,37,62.2,316,148,13,18,72.2,6,11,54.5,2,3,66.7,0,0.0,0.0,2,1,0,0,5
7,Isaac Hayden,14.0,eng ENG,DM,22-193,17,1,3,33.3,32,11,0,1,0.0,0,1,0.0,1,1,100.0,0,0.0,0.0,0,1,0,0,1
8,Jonjo Shelvey,8.0,eng ENG,DM,25-216,90,28,39,71.8,623,304,9,12,75.0,14,16,87.5,5,10,50.0,0,0.0,0.2,1,4,0,0,8
9,Javier Manquillo,19.0,es ESP,LB,23-149,90,20,32,62.5,266,186,15,20,75.0,4,8,50.0,1,3,33.3,0,0.0,0.0,0,2,1,0,3
10,Ciaran Clark,2.0,ie IRL,CB,28-005,90,19,27,70.4,363,199,5,5,100.0,10,14,71.4,2,5,40.0,0,0.0,0.0,0,2,0,0,2
11,Jamaal Lascelles,6.0,eng ENG,CB,23-324,90,15,25,60.0,245,90,6,6,100.0,8,9,88.9,0,7,0.0,0,0.0,0.0,0,0,0,0,0
12,DeAndre Yedlin,22.0,us USA,RB,24-084,90,26,31,83.9,393,191,15,17,88.2,9,11,81.8,2,3,66.7,0,0.0,0.0,0,1,0,0,0
13,Rob Elliot,1.0,ie IRL,GK,31-154,90,19,38,50.0,743,647,0,0,,9,9,100.0,10,29,34.5,0,0.0,0.0,0,0,0,0,0
14,14 Players,,,,,990,215,331,65.0,3873,1955,101,126,80.2,75,108,69.4,28,76,36.8,0,0.1,0.3,4,16,1,0,25
