,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Corner Kicks,Corner Kicks,Corner Kicks,Outcomes,Outcomes,Outcomes
,Player,#,Nation,Pos,Age,Min,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks
0,Shane Long,7.0,ie IRL,FW,30-345,90,31,31,0,0,0,0,2,0,0,0,0,0,20,0,0
1,Sofiane Boufal,19.0,ma MAR,"LW,LM",24-107,90,49,47,2,0,0,0,1,1,1,1,0,0,36,0,2
2,James Ward-Prowse,16.0,eng ENG,RW,23-062,69,45,41,4,2,0,0,2,0,2,0,1,0,32,0,1
3,Steven Davis,8.0,nir NIR,"CM,AM",33-001,21,16,15,1,0,0,0,0,0,0,0,0,0,14,0,0
4,Dušan Tadić,11.0,rs SRB,"AM,RW",29-043,78,33,32,1,0,0,0,1,0,0,0,0,0,21,0,2
5,Nathan Redmond,22.0,eng ENG,"RM,RW",23-302,12,8,7,1,0,1,0,0,1,0,0,0,0,4,0,0
6,Pierre Højbjerg,23.0,dk DEN,DM,22-150,74,72,72,0,0,0,1,0,0,0,0,0,0,66,0,0
7,Manolo Gabbiadini,20.0,it ITA,"FW,DM",26-037,16,2,1,1,0,0,0,1,0,0,0,0,0,1,0,0
8,Oriol Romeu,14.0,es ESP,"DM,CM",26-100,90,63,62,1,1,0,0,1,0,0,0,0,0,53,0,1
9,Ryan Bertrand,21.0,eng ENG,LB,28-150,90,67,52,14,3,0,0,5,10,1,0,1,0,52,1,3
10,Maya Yoshida,3.0,jp JPN,CB,29-131,90,68,68,0,0,0,1,0,0,0,0,0,0,61,0,0
11,Jack Stephens,5.0,eng ENG,CB,23-340,90,57,54,3,3,0,0,0,0,0,0,0,0,49,0,0
12,Jérémy Pied,26.0,fr FRA,RB,28-313,90,71,58,13,0,0,0,3,13,0,0,0,0,51,0,6
13,Alex McCarthy,13.0,eng ENG,GK,28-030,90,22,13,9,2,0,0,0,0,0,0,0,0,11,0,0
14,14 Players,,,,,990,604,553,50,11,1,2,16,25,4,1,2,0,471,1,15
