,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,SCA,SCA,Passes,Passes,Passes,Passes,Carries,Carries,Take-Ons,Take-Ons
,Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ
0,Guido Carrillo,9.0,ar ARG,FW,26-282,78,0,0,0,0,3,0,0,0,26,2,0,0,0.2,0.2,0.1,3,0,13,18,72.2,4,6,0,0,0
1,Shane Long,7.0,ie IRL,FW,31-040,12,0,0,0,0,0,0,0,0,3,0,0,0,0.0,0.0,0.0,0,0,2,3,66.7,0,2,0,0,0
2,Nathan Redmond,22.0,eng ENG,LW,23-362,90,0,0,0,0,2,2,0,0,58,0,1,0,0.1,0.1,0.4,8,0,34,50,68.0,7,38,8,8,7
3,Josh Sims,39.0,eng ENG,RW,20-340,75,0,0,0,0,3,2,0,0,33,3,0,1,0.2,0.2,0.0,4,0,20,24,83.3,2,19,3,1,1
4,Sofiane Boufal,19.0,ma MAR,"RW,LM",24-167,15,0,0,0,0,1,0,0,0,9,2,0,0,0.3,0.3,0.0,2,0,3,4,75.0,2,7,0,0,0
5,Dušan Tadić,11.0,rs SRB,AM,29-103,63,0,0,0,0,0,0,0,0,35,3,0,0,0.0,0.0,0.0,1,0,19,28,67.9,1,25,2,1,1
6,Manolo Gabbiadini,20.0,it ITA,"AM,FW",26-097,27,0,0,0,0,0,0,0,0,6,0,0,0,0.0,0.0,0.0,1,0,4,5,80.0,0,6,1,0,0
7,Mario Lemina,18.0,ga GAB,DM,24-183,90,0,0,0,0,3,0,0,0,52,0,1,0,0.1,0.1,0.0,0,0,42,46,91.3,4,38,4,4,4
8,Oriol Romeu,14.0,es ESP,DM,26-160,90,0,0,0,0,1,0,0,0,61,1,0,0,0.0,0.0,0.0,1,0,48,56,85.7,5,38,3,1,1
9,Ryan Bertrand,21.0,eng ENG,LB,28-210,90,0,0,0,0,1,0,0,0,76,1,1,1,0.0,0.0,0.1,7,0,45,69,65.2,8,50,5,2,2
10,Wesley Hoedt,6.0,nl NED,CB,23-362,90,0,0,0,0,0,0,0,0,71,4,0,0,0.0,0.0,0.1,1,0,49,63,77.8,11,41,0,1,1
11,Jack Stephens,5.0,eng ENG,CB,24-035,90,0,0,0,0,0,0,0,0,40,1,2,0,0.0,0.0,0.0,0,0,25,33,75.8,1,19,1,0,0
12,Cédric Soares,2.0,pt POR,RB,26-184,90,0,0,0,0,4,2,0,0,93,1,0,1,0.1,0.1,0.2,4,0,55,83,66.3,6,53,2,0,0
13,Alex McCarthy,13.0,eng ENG,GK,28-090,90,0,0,0,0,0,0,0,0,25,0,0,0,0.0,0.0,0.0,0,0,17,24,70.8,0,10,0,0,0
14,14 Players,,,,,990,0,0,0,0,18,6,0,0,588,18,5,3,0.9,0.9,0.8,32,0,376,506,74.3,51,352,29,18,17
