,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Corner Kicks,Corner Kicks,Corner Kicks,Outcomes,Outcomes,Outcomes
,Player,#,Nation,Pos,Age,Min,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks
0,Eric Maxim Choupo-Moting,10.0,cm CMR,"FW,AM,LM",28-219,90,21,20,0,0,0,0,0,0,0,0,0,0,12,1,0
1,Ramadan Sobhi,32.0,eg EGY,AM,20-278,77,23,23,0,0,0,0,0,0,0,0,0,0,16,0,0
2,Saido Berahino,9.0,bi BDI,"FW,AM",24-085,13,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0
3,Xherdan Shaqiri,22.0,ch SUI,AM,26-018,87,27,19,8,2,1,0,1,4,1,0,0,0,22,0,1
4,Charlie Adam,16.0,sct SCO,"AM,CM",31-322,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,Joe Allen,4.0,wls WAL,"CM,RM",27-228,90,34,34,0,0,0,0,0,0,0,0,0,0,25,0,2
6,Darren Fletcher,24.0,sct SCO,CM,33-269,90,29,29,0,0,0,0,0,0,0,0,0,0,20,0,1
7,Erik Pieters,3.0,nl NED,"WB,LB",29-082,90,29,22,7,0,0,0,0,7,0,0,0,0,21,0,0
8,Mame Biram Diouf,18.0,sn SEN,"WB,RB",29-316,90,25,24,0,0,0,0,2,0,0,0,0,0,8,1,2
9,Kevin Wimmer,5.0,at AUT,CB,24-347,90,29,21,8,2,0,1,0,6,0,0,0,0,19,0,1
10,Ryan Shawcross,17.0,eng ENG,CB,30-024,90,13,13,0,0,0,0,0,0,0,0,0,0,9,0,0
11,Kurt Zouma,6.0,fr FRA,CB,23-001,90,20,10,10,1,0,0,0,9,0,0,0,0,9,0,1
12,Jack Butland,1.0,eng ENG,GK,24-232,90,29,12,17,9,0,0,0,0,0,0,0,0,8,0,0
13,13 Players,,,,,990,280,228,50,14,1,1,3,26,1,0,0,0,170,2,8
