,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Tackles,Tackles,Tackles,Tackles,Tackles,Challenges,Challenges,Challenges,Challenges,Blocks,Blocks,Blocks,Unnamed: 18_level_0,Unnamed: 19_level_0,Unnamed: 20_level_0,Unnamed: 21_level_0
,Player,#,Nation,Pos,Age,Min,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err
0,Eric Maxim Choupo-Moting,10.0,cm CMR,"FW,LM",28-226,90,1,1,0,1,0,0,0,,0,0,0,0,0,1,1,0
1,Ramadan Sobhi,32.0,eg EGY,AM,20-285,68,2,2,2,0,0,1,1,100.0,0,0,0,0,1,3,0,0
2,Peter Crouch,25.0,eng ENG,FW,36-278,22,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
3,Xherdan Shaqiri,22.0,ch SUI,"AM,RM",26-025,90,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0
4,Joe Allen,4.0,wls WAL,CM,27-235,90,5,4,3,2,0,0,1,0.0,1,1,0,1,0,5,0,0
5,Darren Fletcher,24.0,sct SCO,CM,33-276,90,0,0,0,0,0,0,2,0.0,2,0,0,0,0,0,1,0
6,Erik Pieters,3.0,nl NED,"WB,LB",29-089,90,1,0,0,1,0,0,1,0.0,1,2,1,1,5,6,3,0
7,Mame Biram Diouf,18.0,sn SEN,"WB,FW",29-323,85,1,1,1,0,0,0,0,,0,0,0,0,1,2,3,0
8,Saido Berahino,9.0,bi BDI,FW,24-092,5,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
9,Kevin Wimmer,5.0,at AUT,CB,24-354,90,3,1,2,1,0,1,1,100.0,0,3,3,0,3,6,4,0
10,Ryan Shawcross,17.0,eng ENG,CB,30-031,90,1,1,1,0,0,0,0,,0,2,1,1,0,1,6,0
11,Kurt Zouma,6.0,fr FRA,"CB,RB",23-008,90,1,1,1,0,0,1,2,50.0,1,0,0,0,2,3,3,0
12,Jack Butland,1.0,eng ENG,GK,24-239,90,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
13,13 Players,,,,,990,15,11,10,5,0,3,9,33.3,6,8,5,3,12,27,21,0
