,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,Unnamed: 20_level_0,Unnamed: 21_level_0,Unnamed: 22_level_0,Unnamed: 23_level_0,Unnamed: 24_level_0,Unnamed: 25_level_0,Unnamed: 26_level_0,Unnamed: 27_level_0
,Player,#,Nation,Pos,Age,Min,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP
0,Mame Biram Diouf,18.0,sn SEN,FW,30-046,84,3,15,20.0,24,4,3,11,27.3,0,1,0.0,0,1,0.0,0,0.0,0.0,0,0,0,0,0
1,Saido Berahino,9.0,bi BDI,FW,24-180,6,1,1,100.0,20,17,0,0,,1,1,100.0,0,0,,0,0.0,0.0,0,0,1,1,0
2,Eric Maxim Choupo-Moting,10.0,cm CMR,"LW,LM",28-314,90,9,15,60.0,183,64,3,4,75.0,4,6,66.7,2,2,100.0,0,0.0,0.0,0,2,1,0,2
3,Xherdan Shaqiri,22.0,ch SUI,"RW,RM",26-113,90,15,23,65.2,247,108,8,9,88.9,5,7,71.4,1,5,20.0,0,0.3,0.3,3,0,1,0,2
4,Joe Allen,4.0,wls WAL,"AM,CM",27-323,90,21,28,75.0,349,159,9,11,81.8,9,12,75.0,2,3,66.7,0,0.0,0.0,0,5,0,0,7
5,Charlie Adam,16.0,sct SCO,DM,32-052,59,10,19,52.6,179,116,5,7,71.4,5,9,55.6,0,3,0.0,0,0.1,0.3,1,1,1,0,3
6,Peter Crouch,25.0,eng ENG,"DM,FW",37-001,31,5,11,45.5,64,27,4,9,44.4,1,1,100.0,0,0,,0,0.0,0.0,0,0,1,0,2
7,Darren Fletcher,24.0,sct SCO,"DM,CM",33-364,90,25,39,64.1,586,173,7,11,63.6,9,16,56.3,9,10,90.0,0,0.0,0.0,0,3,1,0,4
8,Erik Pieters,3.0,nl NED,LB,29-177,90,28,47,59.6,484,279,16,17,94.1,9,18,50.0,3,9,33.3,0,0.0,0.1,0,4,1,0,7
9,Kurt Zouma,6.0,fr FRA,CB,23-096,90,21,34,61.8,398,134,10,13,76.9,9,15,60.0,2,5,40.0,0,0.0,0.0,0,0,0,0,3
10,Ryan Shawcross,17.0,eng ENG,CB,30-119,90,12,28,42.9,197,134,6,9,66.7,4,10,40.0,1,8,12.5,0,0.0,0.0,0,1,0,0,3
11,Moritz Bauer,2.0,at AUT,RB,26-006,90,19,39,48.7,402,203,6,10,60.0,11,17,64.7,2,11,18.2,0,0.0,0.0,0,1,0,0,3
12,Jack Butland,1.0,eng ENG,GK,24-327,90,17,31,54.8,733,652,1,1,100.0,5,5,100.0,11,25,44.0,0,0.0,0.0,0,4,0,0,0
13,13 Players,,,,,990,186,330,56.4,3866,2070,78,112,69.6,72,118,61.0,33,82,40.2,0,0.3,0.7,4,21,7,1,36
