,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Aerial Duels,Aerial Duels,Aerial Duels
,Player,#,Nation,Pos,Age,Min,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
0,Peter Crouch,25.0,eng ENG,FW,37-046,90,0,0,0,2,0,0,0,0,0,0,0,0,2,13,4,76.5
1,Ramadan Sobhi,32.0,eg EGY,LW,21-053,71,0,0,0,2,0,0,1,0,2,0,0,0,8,0,0,
2,Eric Maxim Choupo-Moting,10.0,cm CMR,LW,28-359,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
3,Jesé,11.0,es ESP,LW,25-019,12,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,
4,Xherdan Shaqiri,22.0,ch SUI,RW,26-158,75,0,0,0,0,1,0,1,0,0,0,0,0,3,0,2,0.0
5,Saido Berahino,9.0,bi BDI,RW,24-225,15,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,
6,Charlie Adam,16.0,sct SCO,LM,32-097,29,0,1,0,1,0,0,1,1,0,0,0,0,3,0,0,
7,Joe Allen,4.0,wls WAL,CM,28-003,90,0,0,0,1,4,0,1,0,2,0,0,0,11,2,0,100.0
8,Badou Ndiaye,27.0,sn SEN,RM,27-141,90,0,0,0,2,3,0,0,0,2,0,0,0,7,0,0,
9,Kostas Stafylidis,21.0,gr GRE,LB,24-105,90,0,0,0,1,1,0,4,0,2,0,0,0,3,0,1,0.0
10,Kurt Zouma,6.0,fr FRA,CB,23-141,90,0,0,0,0,0,0,0,3,1,0,0,0,8,1,1,50.0
11,Ryan Shawcross,17.0,eng ENG,CB,30-164,90,1,0,0,1,0,0,0,4,1,0,0,0,3,4,1,80.0
12,Glen Johnson,8.0,eng ENG,RB,33-206,90,0,0,0,2,1,0,2,4,1,0,0,0,5,0,0,
13,Jack Butland,1.0,eng ENG,GK,25-007,90,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,
14,14 Players,,,,,929,1,1,0,13,11,0,11,12,12,0,0,0,62,20,9,69.0
