,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Touches,Touches,Touches,Touches,Touches,Touches,Touches,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Receiving,Receiving
,Player,#,Nation,Pos,Age,Min,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR
0,Peter Crouch,25.0,eng ENG,FW,37-088,64,30,0,2,16,12,1,30,1,1,100.0,0,0.0,9,48,26,1,0,0,3,0,19,0
1,Darren Fletcher,24.0,sct SCO,RM,34-086,26,6,2,3,3,0,0,6,0,0,,0,,3,12,11,0,0,0,0,0,4,0
2,Mame Biram Diouf,18.0,sn SEN,"FW,RM",30-133,90,28,3,11,5,12,2,28,0,0,,0,,10,16,3,0,0,0,3,0,17,5
3,Moritz Bauer,2.0,at AUT,"LM,RB",26-093,90,38,3,15,11,12,1,38,3,1,33.3,2,66.7,15,132,67,3,1,1,1,0,16,1
4,Badou Ndiaye,27.0,sn SEN,CM,27-183,90,42,3,18,21,3,0,42,0,0,,0,,16,41,6,0,0,0,4,0,16,0
5,Joe Allen,4.0,wls WAL,CM,28-045,90,45,5,15,24,7,0,45,1,1,100.0,0,0.0,15,73,36,0,1,0,2,0,15,0
6,Xherdan Shaqiri,22.0,ch SUI,"FW,RM",26-200,90,37,0,7,20,11,1,37,1,0,0.0,1,100.0,19,133,73,2,0,1,6,0,20,3
7,Erik Pieters,3.0,nl NED,LB,29-264,90,58,13,34,17,8,0,58,1,0,0.0,1,100.0,8,32,29,1,0,0,1,0,11,0
8,Bruno Martins Indi,15.0,nl NED,CB,26-079,51,15,1,7,8,0,0,15,0,0,,0,,5,15,1,0,0,0,0,0,5,0
9,Ramadan Sobhi,32.0,eg EGY,LM,21-095,39,20,2,8,4,8,2,20,1,0,0.0,1,100.0,8,47,27,1,1,0,2,1,8,1
10,Ryan Shawcross,17.0,eng ENG,CB,30-206,90,28,11,18,9,1,1,28,0,0,,0,,4,6,1,0,0,0,0,0,3,0
11,Kurt Zouma,6.0,fr FRA,"RB,CB",23-183,90,41,10,23,15,4,0,41,0,0,,0,,9,57,24,0,1,0,1,0,7,1
12,Jack Butland,1.0,eng ENG,GK,25-049,90,40,35,38,2,0,0,40,0,0,,0,,12,115,96,0,0,0,1,0,7,0
13,13 Players,,,,,990,428,88,199,155,78,8,428,8,3,37.5,5,62.5,133,727,400,8,4,2,24,1,148,11
