,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,SCA,SCA,Passes,Passes,Passes,Passes,Carries,Carries,Take-Ons,Take-Ons
,Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ
0,Eric Maxim Choupo-Moting,10.0,cm CMR,"FW,LW",28-184,90,0,0,0,0,3,1,0,0,33,0,0,1,0.1,0.1,0.0,2,0,17,25,68.0,4,22,2,2,1
1,Jesé,11.0,es ESP,LW,24-209,60,0,0,0,0,0,0,0,0,16,2,0,0,0.0,0.0,0.0,0,0,8,14,57.1,1,12,1,1,0
2,Peter Crouch,25.0,eng ENG,"LW,FW",36-236,30,0,0,0,0,0,0,1,0,8,0,0,0,0.0,0.0,0.1,1,0,6,7,85.7,0,5,0,0,0
3,Xherdan Shaqiri,22.0,ch SUI,RW,25-348,90,0,0,0,0,3,1,1,0,65,1,1,0,0.2,0.2,0.0,3,0,39,55,70.9,8,31,3,2,1
4,Ramadan Sobhi,32.0,eg EGY,LM,20-243,90,0,0,0,0,0,0,0,0,65,2,3,1,0.0,0.0,0.0,2,0,45,51,88.2,6,27,2,5,0
5,Darren Fletcher,24.0,sct SCO,"CM,CB",33-234,90,0,0,0,0,1,0,0,0,54,2,1,0,0.0,0.0,0.2,1,0,39,47,83.0,6,29,1,0,0
6,Joe Allen,4.0,wls WAL,CM,27-193,90,0,0,0,0,3,0,0,0,54,2,1,0,0.1,0.1,0.1,4,0,35,42,83.3,13,19,1,0,0
7,Mame Biram Diouf,18.0,sn SEN,RM,29-281,90,0,0,0,0,3,0,0,0,54,2,1,1,0.4,0.4,0.0,2,0,28,43,65.1,3,20,0,2,0
8,Erik Pieters,3.0,nl NED,CB,29-047,90,0,0,0,0,0,0,0,0,65,3,3,2,0.0,0.0,0.0,1,0,44,56,78.6,6,33,2,0,0
9,Bruno Martins Indi,15.0,nl NED,CB,25-227,75,0,0,0,0,0,0,0,0,35,3,1,0,0.0,0.0,0.0,1,0,21,29,72.4,1,9,1,0,0
10,Ibrahim Afellay,14.0,nl NED,"CM,CB",31-174,15,0,0,0,0,0,0,0,0,13,0,1,0,0.0,0.0,0.0,0,0,11,12,91.7,0,6,0,0,0
11,Glen Johnson,8.0,eng ENG,CB,33-031,90,0,0,0,0,0,0,0,0,52,1,1,0,0.0,0.0,0.0,4,0,39,46,84.8,4,26,0,1,1
12,Jack Butland,1.0,eng ENG,GK,24-197,90,0,0,0,0,0,0,0,0,41,0,0,0,0.0,0.0,0.0,1,0,22,41,53.7,0,16,0,0,0
13,13 Players,,,,,990,0,0,0,0,13,2,2,0,555,18,13,5,0.8,0.8,0.5,22,0,354,468,75.6,52,255,13,13,3
