,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Aerial Duels,Aerial Duels,Aerial Duels
,Player,#,Nation,Pos,Age,Min,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
0,Jordan Ayew,18.0,gh GHA,FW,26-141,87,0,0,0,0,2,0,0,0,1,0,0,0,5,1,7,12.5
1,Wilfried Bony,2.0,ci CIV,FW,29-051,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0
2,Sam Clucas,17.0,eng ENG,LM,27-127,89,0,0,0,0,0,0,4,3,0,0,0,0,2,0,1,0.0
3,Wayne Routledge,15.0,eng ENG,LM,33-023,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
4,Ki Sung-yueng,4.0,kr KOR,CM,29-006,90,0,0,0,0,1,0,2,2,0,0,0,0,3,0,0,
5,Leroy Fer,8.0,nl NED,CM,28-025,90,0,0,0,1,1,0,0,1,2,0,0,0,7,0,3,0.0
6,Nathan Dyer,12.0,eng ENG,RM,30-062,82,0,0,0,1,0,0,2,0,1,0,0,0,4,0,1,0.0
7,Tom Carroll,14.0,eng ENG,RM,25-247,8,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,
8,Martin Olsson,16.0,se SWE,LB,29-258,90,0,0,0,2,0,0,2,1,1,0,0,0,6,1,0,100.0
9,Alfie Mawson,6.0,eng ENG,CB,24-011,90,0,0,0,0,0,0,0,1,1,0,0,0,3,0,0,
10,Federico Fernández,33.0,ar ARG,CB,28-343,90,0,0,0,0,0,0,0,2,1,0,0,0,4,1,0,100.0
11,Mike van der Hoorn,5.0,nl NED,CB,25-107,90,0,0,0,0,1,0,0,2,0,0,0,0,2,3,0,100.0
12,Kyle Naughton,26.0,eng ENG,RB,29-074,90,0,0,0,0,1,0,2,1,0,0,0,0,6,4,0,100.0
13,Łukasz Fabiański,1.0,pl POL,GK,32-287,90,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,
14,14 Players,,,,,990,0,0,0,4,7,0,12,13,7,0,0,0,44,10,14,41.7
