,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Corner Kicks,Corner Kicks,Corner Kicks,Outcomes,Outcomes,Outcomes
,Player,#,Nation,Pos,Age,Min,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks
0,Jordan Ayew,18.0,gh GHA,FW,26-141,87,27,25,2,0,0,0,0,0,0,0,0,0,23,0,0
1,Wilfried Bony,2.0,ci CIV,FW,29-051,3,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0
2,Sam Clucas,17.0,eng ENG,LM,27-127,89,21,18,3,0,1,0,4,0,3,2,0,0,14,0,0
3,Wayne Routledge,15.0,eng ENG,LM,33-023,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,Ki Sung-yueng,4.0,kr KOR,CM,29-006,90,36,31,5,4,0,0,2,0,1,0,0,0,31,0,1
5,Leroy Fer,8.0,nl NED,CM,28-025,90,27,24,3,3,1,1,0,0,0,0,0,0,21,0,0
6,Nathan Dyer,12.0,eng ENG,RM,30-062,82,27,27,0,0,1,0,2,0,0,0,0,0,17,0,2
7,Tom Carroll,14.0,eng ENG,RM,25-247,8,3,3,0,0,0,0,0,0,0,0,0,0,3,0,0
8,Martin Olsson,16.0,se SWE,LB,29-258,90,32,25,7,0,0,0,2,7,0,0,0,0,15,0,2
9,Alfie Mawson,6.0,eng ENG,CB,24-011,90,27,27,0,0,1,3,0,0,0,0,0,0,20,0,1
10,Federico Fernández,33.0,ar ARG,CB,28-343,90,22,22,0,0,0,0,0,0,0,0,0,0,19,0,0
11,Mike van der Hoorn,5.0,nl NED,CB,25-107,90,27,26,1,1,0,0,0,0,0,0,0,0,19,0,1
12,Kyle Naughton,26.0,eng ENG,RB,29-074,90,51,44,7,0,0,0,2,7,0,0,0,0,40,0,2
13,Łukasz Fabiański,1.0,pl POL,GK,32-287,90,32,22,10,3,0,0,0,0,0,0,0,0,15,0,0
14,14 Players,,,,,990,333,295,38,11,4,4,12,14,4,2,0,0,238,0,9
