,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Touches,Touches,Touches,Touches,Touches,Touches,Touches,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Receiving,Receiving
,Player,#,Nation,Pos,Age,Min,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR
0,Jordan Ayew,18.0,gh GHA,"FW,AM",26-166,90,45,0,3,27,16,2,45,2,2,100.0,0,0.0,29,157,50,1,1,1,4,7,34,13
1,Sam Clucas,17.0,eng ENG,"LM,DM",27-152,90,27,1,5,13,10,1,27,0,0,,0,,11,95,53,1,0,0,0,1,19,0
2,Tom Carroll,14.0,eng ENG,CM,25-272,65,42,3,5,27,11,0,42,0,0,,0,,16,124,63,3,1,0,1,0,29,1
3,Tammy Abraham,10.0,eng ENG,FW,20-145,25,6,0,0,4,3,1,6,1,1,100.0,0,0.0,4,26,15,1,1,0,0,1,6,2
4,Ki Sung-yueng,4.0,kr KOR,"CM,DM",29-031,90,65,1,9,39,18,2,65,2,0,0.0,2,100.0,32,246,120,0,1,1,0,0,37,1
5,Nathan Dyer,12.0,eng ENG,RM,30-087,35,11,0,0,5,6,0,11,1,0,0.0,1,100.0,4,37,15,1,1,0,0,1,7,1
6,André Ayew,19.0,gh GHA,"LW,FW,RM",28-069,55,24,0,1,10,14,0,24,0,0,,0,,12,69,11,0,1,0,0,4,22,3
7,Martin Olsson,16.0,se SWE,LB,29-283,90,58,3,10,22,26,2,58,1,0,0.0,1,100.0,21,132,69,2,2,0,2,0,34,5
8,Alfie Mawson,6.0,eng ENG,CB,24-036,90,68,4,28,34,7,2,68,2,1,50.0,1,50.0,36,255,138,2,2,0,0,1,48,0
9,Federico Fernández,33.0,ar ARG,CB,29-003,90,66,6,41,23,2,1,66,1,1,100.0,0,0.0,31,120,53,0,0,0,0,0,39,0
10,Mike van der Hoorn,5.0,nl NED,CB,25-132,45,35,3,11,19,5,0,35,1,0,0.0,1,100.0,20,161,76,0,2,0,0,1,27,1
11,Luciano Narsingh,11.0,nl NED,"RW,RM",27-164,45,16,1,1,6,9,3,16,4,3,75.0,1,25.0,10,143,87,3,3,3,2,0,12,1
12,Kyle Naughton,26.0,eng ENG,RB,29-099,90,74,2,25,34,15,0,74,0,0,,0,,25,143,67,2,1,0,3,1,35,2
13,Łukasz Fabiański,1.0,pl POL,GK,32-312,90,36,31,36,0,0,0,36,0,0,,0,,17,101,48,0,0,0,0,0,16,0
14,14 Players,,,,,990,573,55,175,263,142,14,573,15,8,53.3,7,46.7,268,1809,865,16,16,5,12,17,365,30
