,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Tackles,Tackles,Tackles,Tackles,Tackles,Challenges,Challenges,Challenges,Challenges,Blocks,Blocks,Blocks,Unnamed: 18_level_0,Unnamed: 19_level_0,Unnamed: 20_level_0,Unnamed: 21_level_0
,Player,#,Nation,Pos,Age,Min,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err
0,Tammy Abraham,10.0,eng ENG,FW,19-328,77,1,1,0,1,0,0,0,,0,0,0,0,0,1,0,0
1,Oliver McBurnie,62.0,sct SCO,FW,21-083,13,0,0,0,0,0,0,1,0.0,1,1,0,1,0,0,0,0
2,Jordan Ayew,18.0,gh GHA,"FW,LW",25-349,90,4,2,2,0,2,1,3,33.3,2,1,0,1,0,4,1,0
3,Tom Carroll,14.0,eng ENG,CM,25-090,90,3,2,1,2,0,0,0,,0,0,0,0,0,3,1,0
4,Sam Clucas,17.0,eng ENG,CM,26-335,90,0,0,0,0,0,0,1,0.0,1,0,0,0,2,2,1,0
5,Leroy Fer,8.0,nl NED,CM,27-233,90,4,3,4,0,0,0,1,0.0,1,1,1,0,0,4,3,0
6,Martin Olsson,16.0,se SWE,"WB,LB",29-101,90,2,2,2,0,0,0,1,0.0,1,0,0,0,0,2,3,0
7,Kyle Naughton,26.0,eng ENG,"WB,RB",28-282,87,1,1,0,1,0,1,2,50.0,1,1,0,1,2,3,4,0
8,Àngel Rangel,22.0,es ESP,RB,34-302,3,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0
9,Alfie Mawson,6.0,eng ENG,CB,23-219,90,0,0,0,0,0,0,0,,0,0,0,0,0,0,3,1
10,Federico Fernández,33.0,ar ARG,CB,28-186,90,1,1,1,0,0,0,0,,0,0,0,0,0,1,8,0
11,Mike van der Hoorn,5.0,nl NED,CB,24-315,69,2,2,1,1,0,1,1,100.0,0,0,0,0,0,2,6,0
12,Wayne Routledge,15.0,eng ENG,RW,32-231,21,2,1,1,1,0,0,0,,0,0,0,0,1,3,1,0
13,Łukasz Fabiański,1.0,pl POL,GK,32-130,90,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
14,14 Players,,,,,990,20,15,12,6,2,3,10,30.0,7,4,1,3,5,25,32,1
