,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,SCA,SCA,Passes,Passes,Passes,Passes,Carries,Carries,Take-Ons,Take-Ons
,Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ
0,Jordan Ayew,18.0,gh GHA,FW,26-239,90,0,0,0,0,4,1,0,0,39,1,1,0,0.2,0.2,0.0,4,0,17,22,77.3,1,27,3,4,3
1,Sam Clucas,17.0,eng ENG,"AM,LB",27-225,90,0,0,0,0,1,0,0,0,45,0,0,1,0.0,0.0,0.0,3,0,25,37,67.6,1,21,1,0,0
2,André Ayew,19.0,gh GHA,"AM,RW",28-142,90,0,0,0,0,0,0,0,0,32,1,0,2,0.0,0.0,0.0,2,0,17,27,63.0,1,18,0,2,2
3,Andy King,24.0,wls WAL,"CM,LM",29-191,81,0,0,0,0,1,1,0,0,45,1,1,1,0.0,0.0,0.1,3,0,30,38,78.9,3,21,0,0,0
4,Tom Carroll,14.0,eng ENG,LM,25-345,9,0,0,0,0,0,0,0,0,6,0,0,1,0.0,0.0,0.0,0,0,3,4,75.0,0,2,0,0,0
5,Ki Sung-yueng,4.0,kr KOR,CM,29-104,90,0,0,0,0,1,0,1,0,63,1,1,2,0.0,0.0,0.1,3,0,37,53,69.8,7,26,1,0,0
6,Martin Olsson,16.0,se SWE,WB,29-356,61,0,0,0,0,1,0,0,0,43,0,0,1,0.0,0.0,0.0,0,0,19,36,52.8,3,18,0,1,0
7,Tammy Abraham,10.0,eng ENG,"LW,WB",20-218,29,0,0,0,0,2,1,0,0,8,0,0,0,0.1,0.1,0.0,0,0,2,5,40.0,1,5,1,0,0
8,Connor Roberts,52.0,wls WAL,"WB,RB",22-227,90,0,0,0,0,0,0,0,0,61,1,0,1,0.0,0.0,0.0,2,0,41,58,70.7,5,32,1,0,0
9,Alfie Mawson,6.0,eng ENG,CB,24-109,90,0,0,0,0,0,0,0,0,64,1,0,1,0.0,0.0,0.0,0,0,37,56,66.1,3,32,1,3,3
10,Federico Fernández,33.0,ar ARG,CB,29-076,90,0,0,0,0,1,0,1,0,55,3,2,0,0.0,0.0,0.0,1,0,40,47,85.1,2,27,0,0,0
11,Kyle Naughton,26.0,eng ENG,CB,29-172,74,0,0,0,0,0,0,0,0,70,2,1,2,0.0,0.0,0.0,1,0,41,60,68.3,5,34,1,1,1
12,Luciano Narsingh,11.0,nl NED,"RM,CB",27-237,16,0,0,0,0,0,0,0,0,5,0,0,0,0.0,0.0,0.0,0,0,2,3,66.7,0,4,1,1,0
13,Łukasz Fabiański,1.0,pl POL,GK,33-020,90,0,0,0,0,0,0,0,0,40,0,0,0,0.0,0.0,0.0,0,0,17,39,43.6,0,25,0,0,0
14,14 Players,,,,,990,0,0,0,0,11,3,2,0,576,11,6,12,0.5,0.5,0.3,19,0,328,485,67.6,32,292,10,12,9
