,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,Unnamed: 20_level_0,Unnamed: 21_level_0,Unnamed: 22_level_0,Unnamed: 23_level_0,Unnamed: 24_level_0,Unnamed: 25_level_0,Unnamed: 26_level_0,Unnamed: 27_level_0
,Player,#,Nation,Pos,Age,Min,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP
0,Tammy Abraham,10.0,eng ENG,FW,20-019,90,9,12,75.0,125,16,5,6,83.3,4,6,66.7,0,0,,0,0.0,0.0,0,0,0,0,0
1,Jordan Ayew,18.0,gh GHA,LW,26-040,90,30,41,73.2,464,46,20,24,83.3,6,11,54.5,4,4,100.0,1,0.1,0.4,1,4,0,0,5
2,Luciano Narsingh,11.0,nl NED,RW,27-038,55,19,23,82.6,213,22,17,18,94.4,2,3,66.7,0,1,0.0,0,0.0,0.0,0,1,0,0,0
3,Nathan Dyer,12.0,eng ENG,RW,29-326,35,17,21,81.0,267,40,8,10,80.0,8,9,88.9,0,0,,0,0.0,0.0,1,1,0,0,1
4,Tom Carroll,14.0,eng ENG,LM,25-146,90,58,74,78.4,1143,409,25,27,92.6,20,27,74.1,12,18,66.7,0,0.1,0.1,2,10,1,0,10
5,Leon Britton,7.0,eng ENG,CM,35-035,45,15,17,88.2,267,64,6,6,100.0,8,10,80.0,1,1,100.0,0,0.0,0.0,0,0,0,0,1
6,Ki Sung-yueng,4.0,kr KOR,CM,28-270,45,20,21,95.2,369,79,9,9,100.0,8,9,88.9,3,3,100.0,0,0.1,0.0,2,1,1,1,3
7,Renato Sanches,35.0,pt POR,RM,20-064,77,45,53,84.9,857,208,20,21,95.2,17,18,94.4,7,12,58.3,0,0.0,0.1,1,7,0,0,11
8,Wayne Routledge,15.0,eng ENG,RM,32-287,13,4,6,66.7,59,4,2,2,100.0,2,3,66.7,0,0,,0,0.0,0.0,1,0,0,0,1
9,Martin Olsson,16.0,se SWE,LB,29-157,90,46,62,74.2,754,320,28,33,84.8,11,17,64.7,6,9,66.7,0,0.1,0.0,2,5,3,3,5
10,Alfie Mawson,6.0,eng ENG,CB,23-275,90,44,53,83.0,1004,460,7,7,100.0,31,35,88.6,6,11,54.5,0,0.0,0.0,0,3,0,0,1
11,Federico Fernández,33.0,ar ARG,CB,28-242,90,41,50,82.0,883,540,15,15,100.0,17,21,81.0,9,12,75.0,0,0.0,0.0,1,8,0,0,7
12,Kyle Naughton,26.0,eng ENG,RB,28-338,90,56,79,70.9,961,341,25,30,83.3,27,36,75.0,4,12,33.3,0,0.1,0.1,3,7,1,1,13
13,Łukasz Fabiański,1.0,pl POL,GK,32-186,90,17,23,73.9,518,406,0,0,,9,9,100.0,8,14,57.1,0,0.0,0.0,0,0,0,0,0
14,14 Players,,,,,990,421,535,78.7,7884,2955,187,208,89.9,170,214,79.4,60,97,61.9,1,0.6,0.7,14,47,6,5,58
