,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Tackles,Tackles,Tackles,Tackles,Tackles,Challenges,Challenges,Challenges,Challenges,Blocks,Blocks,Blocks,Unnamed: 18_level_0,Unnamed: 19_level_0,Unnamed: 20_level_0,Unnamed: 21_level_0
,Player,#,Nation,Pos,Age,Min,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err
0,Salomón Rondón,9.0,ve VEN,FW,28-211,84,0,0,0,0,0,0,2,0.0,2,0,0,0,0,0,0,0
1,Daniel Sturridge,15.0,eng ENG,FW,28-226,6,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
2,Jay Rodriguez,19.0,eng ENG,"FW,RW",28-260,90,2,2,0,1,1,0,3,0.0,3,0,0,0,3,5,4,0
3,James McClean,14.0,ie IRL,"LM,LW",28-358,90,2,2,2,0,0,1,2,50.0,1,2,0,2,0,2,4,0
4,Chris Brunt,11.0,nir NIR,CM,33-122,89,2,0,2,0,0,0,3,0.0,3,1,0,1,1,3,3,0
5,Claudio Yacob,5.0,ar ARG,CM,30-271,1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
6,Jake Livermore,8.0,eng ENG,CM,28-152,90,0,0,0,0,0,0,1,0.0,1,1,0,1,3,3,3,0
7,Matt Phillips,10.0,sct SCO,RM,27-033,76,0,0,0,0,0,0,2,0.0,2,2,0,2,0,0,0,0
8,Grzegorz Krychowiak,20.0,pl POL,CM,28-076,14,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
9,Kieran Gibbs,3.0,eng ENG,LB,28-201,90,1,1,1,0,0,1,1,100.0,0,2,0,2,4,5,2,0
10,Ahmed Hegazi,26.0,eg EGY,CB,27-080,90,0,0,0,0,0,0,1,0.0,1,1,1,0,2,2,14,0
11,Craig Dawson,25.0,eng ENG,CB,27-344,90,1,1,1,0,0,0,1,0.0,1,3,3,0,1,2,6,0
12,Allan Nyom,2.0,cm CMR,RB,29-340,90,1,1,1,0,0,0,0,,0,1,0,1,0,1,4,0
13,Ben Foster,1.0,eng ENG,GK,35-012,90,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
14,14 Players,,,,,990,9,7,7,1,1,2,16,12.5,14,13,4,9,14,23,40,0
