,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,Unnamed: 20_level_0,Unnamed: 21_level_0,Unnamed: 22_level_0,Unnamed: 23_level_0,Unnamed: 24_level_0,Unnamed: 25_level_0,Unnamed: 26_level_0,Unnamed: 27_level_0
,Player,#,Nation,Pos,Age,Min,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP
0,Marko Arnautović,7.0,at AUT,FW,28-311,82,20,26,76.9,239,55,16,21,76.2,4,5,80.0,0,0,,0,0.0,0.1,0,1,0,0,1
1,Javier Hernández,17.0,mx MEX,FW,29-268,8,0,0,,0,0,0,0,,0,0,,0,0,,0,0.0,0.0,0,0,0,0,0
2,Manuel Lanzini,10.0,ar ARG,AM,25-009,57,19,22,86.4,212,56,15,16,93.8,3,4,75.0,0,0,,0,0.0,0.0,1,3,0,0,2
3,Michail Antonio,30.0,jm JAM,"RM,AM",27-333,33,8,11,72.7,146,33,3,5,60.0,3,3,100.0,1,1,100.0,0,0.0,0.0,0,0,0,0,1
4,João Mário,18.0,pt POR,"AM,LM",25-036,82,31,40,77.5,436,50,17,20,85.0,11,11,100.0,1,3,33.3,0,0.0,0.0,0,1,0,0,3
5,Declan Rice,41.0,eng ENG,LM,19-041,8,1,1,100.0,19,0,0,0,,1,1,100.0,0,0,,0,0.0,0.0,0,0,0,0,0
6,Mark Noble,16.0,eng ENG,CM,30-292,90,36,45,80.0,568,142,22,25,88.0,12,14,85.7,2,5,40.0,0,0.0,0.0,0,1,1,0,5
7,Cheikhou Kouyaté,8.0,sn SEN,CM,28-065,90,16,25,64.0,213,75,12,16,75.0,4,7,57.1,0,1,0.0,1,0.1,0.1,2,2,0,0,3
8,Patrice Evra,27.0,fr FRA,"WB,LB",36-285,90,34,51,66.7,462,260,24,29,82.8,9,16,56.3,1,4,25.0,0,0.0,0.0,0,6,0,0,5
9,Pablo Zabaleta,5.0,ar ARG,"WB,RB",33-039,90,27,36,75.0,469,265,14,16,87.5,10,12,83.3,3,7,42.9,0,0.0,0.2,0,1,0,0,2
10,Aaron Cresswell,3.0,eng ENG,CB,28-071,90,16,24,66.7,238,130,9,11,81.8,4,5,80.0,2,6,33.3,0,0.0,0.0,1,2,0,0,2
11,Angelo Ogbonna,21.0,it ITA,CB,29-277,90,15,19,78.9,344,89,4,4,100.0,8,10,80.0,3,5,60.0,0,0.0,0.0,0,0,0,0,1
12,James Collins,19.0,wls WAL,CB,34-185,90,17,29,58.6,367,165,4,4,100.0,9,14,64.3,4,11,36.4,0,0.0,0.0,0,0,0,0,1
13,Adrián,13.0,es ESP,GK,31-052,90,16,38,42.1,787,731,0,0,,1,1,100.0,15,37,40.5,0,0.0,0.0,0,0,0,0,0
14,14 Players,,,,,990,256,367,69.8,4500,2051,140,167,83.8,79,103,76.7,32,80,40.0,1,0.2,0.5,4,17,1,0,26
