,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Touches,Touches,Touches,Touches,Touches,Touches,Touches,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Receiving,Receiving
,Player,#,Nation,Pos,Age,Min,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR
0,Marko Arnautović,7.0,at AUT,FW,28-354,90,47,3,8,19,21,6,47,5,5,100.0,0,0.0,23,182,54,2,2,2,4,2,29,9
1,João Mário,18.0,pt POR,AM,25-079,84,40,2,5,23,13,0,40,1,0,0.0,1,100.0,21,134,76,2,1,0,1,2,27,3
2,Josh Cullen,33.0,ie IRL,AM,22-001,6,3,0,1,1,1,0,3,0,0,,0,,1,11,0,0,0,0,0,0,1,0
3,Edimilson Fernandes,31.0,ch SUI,AM,21-358,69,23,0,4,16,4,0,23,0,0,,0,,17,93,22,1,0,0,1,1,19,3
4,Javier Hernández,17.0,mx MEX,FW,29-311,21,8,0,1,4,4,1,8,0,0,,0,,8,57,5,0,1,0,1,1,10,2
5,Mark Noble,16.0,eng ENG,CM,30-335,90,73,4,19,48,7,0,73,0,0,,0,,34,207,104,1,0,0,0,0,47,0
6,Cheikhou Kouyaté,8.0,sn SEN,CM,28-108,90,46,1,11,30,6,0,46,2,1,50.0,1,50.0,24,168,43,0,0,0,2,1,28,4
7,Arthur Masuaku,26.0,cd COD,WB,24-152,90,50,1,13,23,15,0,50,3,1,33.3,2,66.7,25,189,101,1,2,0,1,3,30,10
8,Pablo Zabaleta,5.0,ar ARG,WB,33-082,90,51,4,15,24,13,0,51,0,0,,0,,24,120,56,1,2,0,0,0,30,2
9,Aaron Cresswell,3.0,eng ENG,CB,28-114,63,43,6,15,24,4,0,43,0,0,,0,,15,84,53,1,0,0,1,0,26,0
10,Patrice Evra,27.0,fr FRA,CB,36-328,27,23,2,9,13,1,0,23,0,0,,0,,10,44,13,0,0,0,0,0,11,0
11,Angelo Ogbonna,21.0,it ITA,CB,29-320,90,42,12,27,15,0,0,42,0,0,,0,,16,79,35,0,0,0,0,0,21,0
12,Declan Rice,41.0,eng ENG,CB,19-084,90,52,4,26,25,1,0,52,0,0,,0,,23,128,60,0,0,0,1,0,31,0
13,Joe Hart,25.0,eng ENG,GK,30-354,90,42,41,42,0,0,0,42,0,0,,0,,18,126,71,0,0,0,0,0,10,0
14,14 Players,,,,,990,543,80,196,265,90,7,543,11,7,63.6,4,36.4,259,1622,693,9,8,2,12,10,320,33
