,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Touches,Touches,Touches,Touches,Touches,Touches,Touches,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Receiving,Receiving
,Player,#,Nation,Pos,Age,Min,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR
0,Alexandre Lacazette,9.0,fr FRA,FW,27-218,74,33,1,2,15,17,6,33,2,1,50.0,1,50.0,17,78,43,2,1,1,1,5,28,5
1,Aaron Ramsey,8.0,wls WAL,RW,28-006,16,12,0,1,10,1,1,12,0,0,,0,,3,12,1,0,0,0,0,0,10,2
2,Pierre-Emerick Aubameyang,14.0,ga GAB,"AM,RW,FW",29-197,90,52,0,2,19,31,12,52,3,2,66.7,1,33.3,36,141,69,4,1,3,1,0,43,13
3,Alex Iwobi,17.0,ng NGA,"AM,LW",22-243,82,44,0,3,15,26,9,44,2,2,100.0,0,0.0,33,264,161,5,3,2,3,0,39,8
4,Bukayo Saka,87.0,eng ENG,LW,17-118,8,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0
5,Granit Xhaka,34.0,ch SUI,CM,26-096,90,99,2,23,53,23,3,99,2,0,0.0,2,100.0,42,116,38,0,0,0,2,0,61,2
6,Mattéo Guendouzi,29.0,fr FRA,"LM,CM",19-262,90,60,0,10,33,17,1,60,3,2,66.7,1,33.3,38,189,72,3,0,1,2,2,39,4
7,Sead Kolašinac,31.0,ba BIH,"LB,WB",25-195,90,82,0,18,34,30,6,82,3,2,66.7,1,33.3,41,277,233,8,6,2,0,1,56,2
8,Ainsley Maitland-Niles,15.0,eng ENG,"RB,WB",21-125,90,74,2,22,24,28,1,74,4,3,75.0,1,25.0,29,140,72,3,1,0,1,0,37,4
9,Laurent Koscielny,6.0,fr FRA,CB,33-113,90,79,9,39,38,2,1,79,0,0,,0,,28,134,78,0,0,0,0,0,48,0
10,Sokratis Papastathopoulos,5.0,gr GRE,CB,30-206,90,58,2,35,21,2,1,58,1,1,100.0,0,0.0,20,112,38,1,0,1,1,1,28,1
11,Shkodran Mustafi,20.0,de GER,CB,26-259,45,28,2,13,12,3,0,28,0,0,,0,,21,51,17,0,1,0,0,0,19,0
12,Lucas Torreira,11.0,uy URU,RM,22-324,45,33,1,5,14,14,3,33,1,0,0.0,1,100.0,15,50,13,1,0,1,2,1,24,1
13,Bernd Leno,19.0,de GER,GK,26-303,90,48,42,48,0,0,0,48,0,0,,0,,29,204,126,0,0,0,0,0,24,0
14,14 Players,,,,,990,702,61,221,288,194,44,702,21,13,61.9,8,38.1,352,1768,961,27,13,11,13,10,456,42
