,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,Unnamed: 20_level_0,Unnamed: 21_level_0,Unnamed: 22_level_0,Unnamed: 23_level_0,Unnamed: 24_level_0,Unnamed: 25_level_0,Unnamed: 26_level_0,Unnamed: 27_level_0
,Player,#,Nation,Pos,Age,Min,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP
0,Pierre-Emerick Aubameyang,14.0,ga GAB,FW,29-301,90,15,22,68.2,142,37,11,14,78.6,2,4,50.0,0,1,0.0,0,0.0,0.0,0,0,1,0,2
1,Alex Iwobi,17.0,ng NGA,"LW,WB",22-347,90,58,67,86.6,869,289,29,32,90.6,26,28,92.9,2,3,66.7,0,1.0,0.8,7,4,8,2,13
2,Henrikh Mkhitaryan,7.0,am ARM,"RW,WB",30-084,90,38,51,74.5,552,151,25,29,86.2,9,11,81.8,2,4,50.0,0,0.6,0.4,1,3,2,1,2
3,Aaron Ramsey,8.0,wls WAL,"AM,DM",28-110,67,60,66,90.9,934,195,30,32,93.8,22,23,95.7,3,4,75.0,0,0.1,0.2,2,7,3,1,8
4,Ainsley Maitland-Niles,15.0,eng ENG,RB,21-229,23,15,17,88.2,225,119,8,8,100.0,5,5,100.0,1,1,100.0,0,0.0,0.0,0,2,1,0,3
5,Granit Xhaka,34.0,ch SUI,"DM,CM",26-200,90,89,102,87.3,1487,371,48,50,96.0,31,35,88.6,8,10,80.0,0,0.1,0.1,2,12,2,1,8
6,Lucas Torreira,11.0,uy URU,DM,23-063,45,30,33,90.9,470,151,14,16,87.5,15,15,100.0,0,1,0.0,0,0.1,0.0,1,2,0,0,3
7,Mesut Özil,10.0,de GER,AM,30-182,45,21,24,87.5,368,17,10,12,83.3,6,6,100.0,3,3,100.0,0,0.1,0.0,2,1,1,1,1
8,Nacho Monreal,18.0,es ESP,"LB,CB",33-048,90,68,80,85.0,1014,346,40,43,93.0,20,25,80.0,4,5,80.0,0,0.1,0.0,1,9,2,0,8
9,Laurent Koscielny,6.0,fr FRA,CB,33-217,90,55,57,96.5,1158,419,14,15,93.3,32,33,97.0,9,9,100.0,0,0.0,0.0,0,0,0,0,1
10,Konstantinos Mavropanos,27.0,gr GRE,CB,21-125,58,45,47,95.7,933,187,12,13,92.3,23,24,95.8,8,8,100.0,0,0.0,0.0,0,2,0,0,1
11,Mattéo Guendouzi,29.0,fr FRA,"DM,CM",20-001,32,23,28,82.1,355,83,12,12,100.0,9,13,69.2,2,2,100.0,0,0.0,0.0,0,1,0,0,1
12,Shkodran Mustafi,20.0,de GER,"RB,CB",26-363,90,53,68,77.9,755,239,31,32,96.9,20,29,69.0,1,6,16.7,0,0.0,0.0,0,5,0,0,5
13,Bernd Leno,19.0,de GER,GK,27-042,90,21,28,75.0,591,441,6,6,100.0,7,7,100.0,8,15,53.3,0,0.0,0.0,0,0,0,0,0
14,14 Players,,,,,990,591,690,85.7,9853,3045,290,314,92.4,227,258,88.0,51,72,70.8,0,2.0,1.7,16,48,20,6,56
