,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Tackles,Tackles,Tackles,Tackles,Tackles,Challenges,Challenges,Challenges,Challenges,Blocks,Blocks,Blocks,Unnamed: 18_level_0,Unnamed: 19_level_0,Unnamed: 20_level_0,Unnamed: 21_level_0
,Player,#,Nation,Pos,Age,Min,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err
0,Callum Wilson,13.0,eng ENG,FW,26-249,90,0,0,0,0,0,0,1,0.0,1,1,0,1,0,0,0,0
1,David Brooks,20.0,wls WAL,"FW,CM,RM",21-118,90,1,1,0,0,1,0,0,,0,1,1,0,0,1,2,0
2,Ryan Fraser,24.0,sct SCO,LM,24-252,73,0,0,0,0,0,0,1,0.0,1,0,0,0,1,1,0,0
3,Jordon Ibe,10.0,eng ENG,LM,22-330,17,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
4,Jefferson Lerma,8.0,co COL,"CM,DM",24-009,90,2,1,1,1,0,1,1,100.0,0,0,0,0,2,4,1,0
5,Lewis Cook,16.0,eng ENG,CM,21-273,67,0,0,0,0,0,0,0,,0,1,0,1,1,1,3,0
6,Dan Gosling,4.0,eng ENG,CM,28-275,23,1,0,0,1,0,1,1,100.0,0,0,0,0,0,1,1,0
7,Junior Stanislas,19.0,eng ENG,RM,28-342,89,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0
8,Andrew Surman,6.0,eng ENG,"CM,RM",32-075,1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
9,Adam Smith,15.0,eng ENG,LB,27-188,90,3,2,2,0,1,2,4,50.0,2,1,0,1,1,4,3,0
10,Nathan Aké,5.0,nl NED,CB,23-258,90,2,2,2,0,0,1,1,100.0,0,2,1,1,1,3,7,0
11,Steve Cook,3.0,eng ENG,CB,27-198,90,4,2,4,0,0,4,4,100.0,0,1,1,0,1,5,10,0
12,Simon Francis,2.0,eng ENG,RB,33-260,90,7,2,6,1,0,3,5,60.0,2,3,2,1,0,7,6,0
13,Asmir Begović,27.0,ba BIH,GK,31-136,90,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,1
14,14 Players,,,,,990,20,10,15,3,2,12,18,66.7,6,10,5,5,7,27,35,1
