,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Corner Kicks,Corner Kicks,Corner Kicks,Outcomes,Outcomes,Outcomes
,Player,#,Nation,Pos,Age,Min,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks
0,Dominic Solanke,29.0,eng ENG,FW,21-141,61,22,20,2,0,0,0,1,0,0,0,0,0,14,0,3
1,Lys Mousset,9.0,fr FRA,FW,22-359,29,11,11,0,0,0,0,0,0,0,0,0,0,4,0,1
2,Joshua King,17.0,no NOR,FW,27-018,90,43,43,0,0,0,0,1,0,0,0,0,0,33,0,0
3,Ryan Fraser,24.0,sct SCO,LM,24-343,90,54,45,9,2,0,0,11,0,6,3,2,0,35,0,3
4,Andrew Surman,6.0,eng ENG,CM,32-166,90,78,71,7,6,0,0,0,1,0,0,0,0,72,0,1
5,Dan Gosling,4.0,eng ENG,CM,29-001,68,66,64,2,1,0,0,0,1,0,0,0,0,55,0,0
6,Jefferson Lerma,8.0,co COL,CM,24-100,22,23,23,0,0,0,0,0,0,0,0,0,0,19,0,1
7,Junior Stanislas,19.0,eng ENG,RM,29-068,61,49,48,1,0,0,0,1,0,1,0,1,0,40,0,0
8,Jordon Ibe,10.0,eng ENG,RM,23-056,29,21,20,1,1,0,1,1,0,0,0,0,0,17,0,1
9,Adam Smith,15.0,eng ENG,LB,27-279,90,59,50,9,1,0,0,1,8,0,0,0,0,49,0,2
10,Nathan Aké,5.0,nl NED,CB,23-349,90,48,45,3,3,0,0,0,0,0,0,0,0,45,0,0
11,Steve Cook,3.0,eng ENG,CB,27-289,90,104,99,5,1,0,0,1,4,0,0,0,0,90,0,0
12,Nathaniel Clyne,23.0,eng ENG,RB,27-303,90,64,55,9,1,0,0,4,8,0,0,0,0,50,0,6
13,Artur Boruc,1.0,pl POL,GK,38-347,90,19,13,6,3,0,0,0,0,0,0,0,0,18,0,0
14,14 Players,,,,,990,661,607,54,19,0,1,21,22,7,3,3,0,541,0,18
