,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Aerial Duels,Aerial Duels,Aerial Duels
,Player,#,Nation,Pos,Age,Min,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
0,Dominic Solanke,29.0,eng ENG,FW,21-162,89,0,0,0,0,0,1,0,1,0,0,0,0,1,9,5,64.3
1,Lys Mousset,9.0,fr FRA,FW,23-015,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2,Joshua King,17.0,no NOR,FW,27-039,90,0,0,0,1,2,0,2,0,0,1,0,0,6,2,4,33.3
3,Ryan Fraser,24.0,sct SCO,LM,24-364,90,0,0,0,0,2,0,15,3,2,1,0,0,2,0,1,0.0
4,Dan Gosling,4.0,eng ENG,CM,29-022,90,1,0,0,3,0,0,1,3,2,0,0,0,11,4,0,100.0
5,Jefferson Lerma,8.0,co COL,CM,24-121,90,1,0,0,1,3,0,0,0,1,0,0,0,5,2,2,50.0
6,Jordon Ibe,10.0,eng ENG,RM,23-077,90,0,0,0,1,1,0,3,0,3,0,0,0,6,1,1,50.0
7,Adam Smith,15.0,eng ENG,LB,27-300,90,1,0,0,2,3,0,0,2,0,0,1,0,6,1,3,25.0
8,Nathan Aké,5.0,nl NED,CB,24-005,90,0,0,0,1,3,0,0,0,2,0,0,0,4,3,1,75.0
9,Chris Mepham,33.0,wls WAL,CB,21-110,90,0,0,0,0,1,0,0,1,0,0,0,0,6,4,3,57.1
10,Nathaniel Clyne,23.0,eng ENG,RB,27-324,90,0,0,0,1,0,0,1,3,2,0,0,0,1,0,0,
11,Artur Boruc,1.0,pl POL,GK,39-003,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
12,12 Players,,,,,990,4,0,0,10,15,1,22,13,12,2,1,0,48,26,20,56.5
