,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Touches,Touches,Touches,Touches,Touches,Touches,Touches,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Receiving,Receiving
,Player,#,Nation,Pos,Age,Min,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR
0,Callum Wilson,13.0,eng ENG,FW,27-031,90,20,3,4,9,7,2,20,0,0,,0,,13,58,19,1,0,1,4,2,16,7
1,Joshua King,17.0,no NOR,"FW,RW",27-074,73,26,1,3,13,12,2,26,4,2,50.0,2,50.0,21,170,64,3,4,0,5,1,19,8
2,Junior Stanislas,19.0,eng ENG,RW,29-124,17,12,1,5,4,3,1,12,0,0,,0,,7,33,0,0,0,0,0,1,7,1
3,Ryan Fraser,24.0,sct SCO,"LM,LW",25-034,90,45,0,7,20,19,2,45,2,0,0.0,2,100.0,32,145,32,1,0,0,1,1,32,8
4,Jefferson Lerma,8.0,co COL,CM,24-156,63,48,3,13,28,7,0,48,3,3,100.0,0,0.0,32,152,69,1,0,0,1,0,29,0
5,Dominic Solanke,29.0,eng ENG,AM,21-197,27,10,1,3,4,4,0,10,3,0,0.0,3,100.0,8,48,13,0,0,0,1,1,8,2
6,Dan Gosling,4.0,eng ENG,"CM,DM",29-057,90,62,2,19,39,4,0,62,0,0,,0,,39,106,44,0,0,0,2,0,40,0
7,David Brooks,20.0,wls WAL,"RM,DM",21-265,90,58,0,7,35,16,0,58,2,1,50.0,1,50.0,41,194,69,2,0,0,2,0,41,5
8,Charlie Daniels,11.0,eng ENG,LB,32-204,55,52,3,17,20,15,0,52,1,1,100.0,0,0.0,31,110,53,3,1,0,0,1,34,2
9,Diego Rico,21.0,es ESP,LB,26-035,35,27,3,14,11,3,0,27,0,0,,0,,12,44,28,0,0,0,0,0,10,1
10,Nathan Aké,5.0,nl NED,CB,24-040,90,67,12,38,29,0,0,67,0,0,,0,,44,184,101,0,0,0,0,0,45,1
11,Chris Mepham,33.0,wls WAL,CB,21-145,90,55,7,31,23,1,1,55,1,1,100.0,0,0.0,36,186,96,1,0,0,0,0,31,0
12,Nathaniel Clyne,23.0,eng ENG,RB,27-359,90,69,3,23,32,14,0,69,1,1,100.0,0,0.0,32,163,66,2,1,0,1,0,31,1
13,Asmir Begović,27.0,ba BIH,GK,31-283,90,32,31,32,0,0,0,32,0,0,,0,,16,88,46,0,0,0,0,0,15,0
14,14 Players,,,,,990,583,70,216,267,105,8,583,17,9,52.9,8,47.1,364,1681,700,14,6,1,17,7,358,36
