,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Touches,Touches,Touches,Touches,Touches,Touches,Touches,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Receiving,Receiving
,Player,#,Nation,Pos,Age,Min,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR
0,Glenn Murray,17.0,eng ENG,FW,35-165,90,36,1,5,16,15,2,36,2,0,0.0,2,100.0,22,40,6,0,1,0,3,3,33,8
1,Alireza Jahanbakhsh,16.0,ir IRN,LW,25-210,89,51,0,17,18,17,1,51,5,1,20.0,4,80.0,25,120,54,0,1,0,1,5,30,1
2,Jürgen Locadia,9.0,nl NED,LW,25-122,1,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0
3,Anthony Knockaert,11.0,fr FRA,RW,27-109,74,41,2,11,20,12,1,41,1,0,0.0,1,100.0,21,198,90,3,2,0,2,1,25,6
4,Solly March,20.0,eng ENG,RW,24-232,16,11,0,3,4,6,1,11,1,0,0.0,1,100.0,5,92,68,1,1,1,1,1,4,1
5,Davy Pröpper,24.0,nl NED,CM,27-188,90,54,4,15,28,11,0,54,4,2,50.0,2,50.0,30,151,75,2,0,0,2,2,34,3
6,Dale Stephens,6.0,eng ENG,CM,29-270,90,67,9,28,36,4,0,67,0,0,,0,,28,181,88,1,1,0,0,0,29,0
7,Yves Bissouma,8.0,ml MLI,CM,22-191,90,59,4,18,34,9,3,59,3,0,0.0,3,100.0,38,240,124,4,1,0,4,1,33,2
8,Bernardo,30.0,br BRA,LB,23-299,90,71,7,31,27,13,0,71,0,0,,0,,20,120,66,1,1,0,3,1,21,1
9,Lewis Dunk,5.0,eng ENG,CB,27-108,90,41,9,23,19,0,0,41,0,0,,0,,16,67,29,0,0,0,0,0,19,0
10,Shane Duffy,4.0,ie IRL,CB,27-067,90,36,9,25,10,1,1,36,0,0,,0,,13,40,11,0,0,0,3,0,19,0
11,Martín Montoya,22.0,es ESP,RB,27-329,90,52,8,29,17,6,0,52,0,0,,0,,18,111,49,1,0,0,1,1,22,0
12,Mathew Ryan,1.0,au AUS,GK,26-335,90,24,21,24,0,0,0,24,0,0,,0,,9,67,51,0,0,0,0,0,4,0
13,13 Players,,,,,990,543,74,229,229,94,9,543,16,3,18.8,13,81.3,245,1427,711,13,8,1,20,15,273,22
