,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,Unnamed: 20_level_0,Unnamed: 21_level_0,Unnamed: 22_level_0,Unnamed: 23_level_0,Unnamed: 24_level_0,Unnamed: 25_level_0,Unnamed: 26_level_0,Unnamed: 27_level_0
,Player,#,Nation,Pos,Age,Min,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP
0,Chris Wood,11.0,nz NZL,FW,27-078,90,6,12,50.0,37,19,3,6,50.0,0,2,0.0,0,0,,0,0.0,0.0,1,0,1,0,1
1,Ashley Barnes,10.0,eng ENG,FW,29-116,90,7,18,38.9,74,33,5,7,71.4,0,5,0.0,1,4,25.0,0,0.0,0.0,0,1,0,0,1
2,Dwight McNeil,31.0,eng ENG,LM,19-093,79,15,22,68.2,276,86,10,11,90.9,0,2,0.0,4,6,66.7,1,0.2,0.1,2,0,0,0,1
3,Jóhann Berg Guðmundsson,7.0,is ISL,RM,28-119,11,3,6,50.0,63,30,1,1,100.0,0,0,,1,3,33.3,1,0.7,0.0,1,1,0,0,1
4,Jack Cork,4.0,eng ENG,CM,29-243,90,14,20,70.0,252,37,5,6,83.3,5,7,71.4,2,4,50.0,0,0.1,0.0,1,1,0,0,1
5,Ashley Westwood,18.0,eng ENG,CM,28-328,90,22,34,64.7,277,118,12,12,100.0,5,8,62.5,1,7,14.3,0,0.1,0.1,1,3,0,0,3
6,Jeff Hendrick,13.0,ie IRL,RM,27-023,79,7,14,50.0,144,94,4,5,80.0,1,4,25.0,2,4,50.0,0,0.1,0.0,1,2,1,0,3
7,Robbie Brady,12.0,ie IRL,LM,27-040,11,3,7,42.9,22,4,3,3,100.0,0,2,0.0,0,2,0.0,0,0.0,0.0,0,0,0,0,0
8,Charlie Taylor,3.0,eng ENG,LB,25-158,90,31,44,70.5,581,336,14,15,93.3,10,13,76.9,5,9,55.6,0,0.0,0.0,0,3,0,0,3
9,Ben Mee,6.0,eng ENG,CB,29-155,90,11,16,68.8,193,61,5,8,62.5,5,5,100.0,1,2,50.0,0,0.0,0.0,0,1,0,0,1
10,James Tarkowski,5.0,eng ENG,CB,26-096,90,7,16,43.8,192,120,1,2,50.0,5,9,55.6,1,4,25.0,0,0.0,0.0,0,3,0,0,2
11,Phil Bardsley,26.0,sct SCO,RB,33-240,90,17,30,56.7,371,250,6,8,75.0,8,13,61.5,3,9,33.3,0,0.0,0.0,0,5,0,0,5
12,Tom Heaton,1.0,eng ENG,GK,32-314,90,15,30,50.0,790,757,0,0,,2,2,100.0,13,28,46.4,0,0.0,0.0,0,0,0,0,0
13,13 Players,,,,,990,158,269,58.7,3272,1945,69,84,82.1,41,72,56.9,34,82,41.5,2,1.2,0.3,7,20,2,0,22
