,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Touches,Touches,Touches,Touches,Touches,Touches,Touches,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Receiving,Receiving
,Player,#,Nation,Pos,Age,Min,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR
0,Chris Wood,11.0,nz NZL,FW,27-136,90,28,1,6,13,10,2,28,3,1,33.3,2,66.7,13,30,10,0,0,0,3,0,20,4
1,Ashley Barnes,10.0,eng ENG,FW,29-174,90,37,7,13,11,13,4,37,0,0,,0,,10,23,2,0,0,0,5,1,19,3
2,Dwight McNeil,31.0,eng ENG,LM,19-151,90,38,8,18,9,11,0,38,1,0,0.0,1,100.0,16,64,19,2,1,0,1,3,14,4
3,Jack Cork,4.0,eng ENG,CM,29-301,90,26,2,8,17,1,0,26,2,2,100.0,0,0.0,15,80,19,1,0,0,0,2,13,0
4,Ashley Westwood,18.0,eng ENG,CM,29-021,90,39,5,16,19,4,0,39,0,0,,0,,7,19,3,0,0,0,2,0,14,0
5,Jeff Hendrick,13.0,ie IRL,RM,27-081,90,23,4,9,10,5,0,23,0,0,,0,,7,41,9,0,0,0,1,2,11,1
6,Charlie Taylor,3.0,eng ENG,LB,25-216,90,50,11,29,15,6,0,50,2,1,50.0,1,50.0,11,52,13,0,1,1,0,1,12,1
7,Ben Mee,6.0,eng ENG,CB,29-213,90,47,19,32,14,1,1,47,1,1,100.0,0,0.0,17,47,22,0,0,0,0,1,15,0
8,James Tarkowski,5.0,eng ENG,CB,26-154,90,30,10,22,8,0,0,30,0,0,,0,,8,22,10,0,0,0,0,1,12,0
9,Matthew Lowton,2.0,eng ENG,RB,29-317,90,39,8,21,16,3,0,39,0,0,,0,,10,45,28,1,0,0,0,0,14,1
10,Tom Heaton,1.0,eng ENG,GK,33-007,90,40,37,40,0,0,0,40,0,0,,0,,16,124,93,0,0,0,0,0,7,0
11,11 Players,,,,,990,397,112,214,132,54,7,397,9,5,55.6,4,44.4,130,547,228,4,2,1,12,11,151,14
