,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Tackles,Tackles,Tackles,Tackles,Tackles,Challenges,Challenges,Challenges,Challenges,Blocks,Blocks,Blocks,Unnamed: 18_level_0,Unnamed: 19_level_0,Unnamed: 20_level_0,Unnamed: 21_level_0
,Player,#,Nation,Pos,Age,Min,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err
0,Callum Paterson,13.0,sct SCO,FW,24-028,90,0,0,0,0,0,0,0,,0,2,0,2,0,0,1,0
1,Josh Murphy,11.0,eng ENG,"LM,RM",23-259,71,1,1,0,1,0,0,1,0.0,1,0,0,0,0,1,0,0
2,Junior Hoilett,33.0,ca CAN,LM,28-158,19,1,0,1,0,0,0,0,,0,0,0,0,0,1,0,0
3,Joe Ralls,8.0,eng ENG,CM,25-029,75,1,0,0,1,0,0,1,0.0,1,0,0,0,0,1,0,0
4,Bobby Reid,14.0,jm JAM,FW,25-281,15,0,0,0,0,0,0,0,,0,1,0,1,0,0,0,0
5,Víctor Camarasa,21.0,es ESP,CM,24-166,90,1,1,0,1,0,1,3,33.3,2,0,0,0,0,1,0,0
6,Kadeem Harris,23.0,eng ENG,"RM,LM",25-155,90,2,1,1,1,0,1,1,100.0,0,1,0,1,0,2,0,0
7,Aron Gunnarsson,17.0,is ISL,"DM,CM",29-202,90,1,1,1,0,0,1,3,33.3,2,1,0,1,1,2,1,0
8,Greg Cunningham,18.0,ie IRL,LB,27-283,90,2,1,1,0,1,0,0,,0,0,0,0,1,3,1,0
9,Sol Bamba,22.0,ci CIV,CB,33-301,90,3,2,2,1,0,1,2,50.0,1,1,1,0,2,5,3,1
10,Sean Morrison,4.0,eng ENG,CB,27-306,69,0,0,0,0,0,0,0,,0,0,0,0,2,2,0,0
11,Lee Peltier,2.0,eng ENG,RB,31-334,21,0,0,0,0,0,0,2,0.0,2,0,0,0,0,0,0,0
12,Bruno Ecuele Manga,5.0,ga GAB,"RB,CB",30-117,90,0,0,0,0,0,0,1,0.0,1,2,0,2,3,3,1,0
13,Neil Etheridge,1.0,ph PHI,GK,28-276,90,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
14,14 Players,,,,,990,12,7,6,5,1,4,14,28.6,10,8,1,7,9,21,7,1
