,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,Unnamed: 20_level_0,Unnamed: 21_level_0,Unnamed: 22_level_0,Unnamed: 23_level_0,Unnamed: 24_level_0,Unnamed: 25_level_0,Unnamed: 26_level_0,Unnamed: 27_level_0
,Player,#,Nation,Pos,Age,Min,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP
0,Callum Paterson,13.0,sct SCO,FW,24-070,90,7,18,38.9,99,30,2,5,40.0,4,10,40.0,0,1,0.0,0,0.0,0.0,0,0,1,0,2
1,Josh Murphy,11.0,eng ENG,"LM,RM",23-301,90,5,11,45.5,113,79,2,3,66.7,0,2,0.0,2,4,50.0,0,0.1,0.1,1,1,1,1,0
2,Harry Arter,7.0,ie IRL,CM,28-359,60,10,14,71.4,95,14,8,9,88.9,1,1,100.0,0,3,0.0,0,0.0,0.0,0,0,0,0,1
3,Kenneth Zohore,10.0,dk DEN,FW,24-325,30,3,4,75.0,58,15,2,2,100.0,0,0,,1,1,100.0,0,0.0,0.0,1,0,1,1,0
4,Víctor Camarasa,21.0,es ESP,CM,24-208,90,28,40,70.0,540,127,14,18,77.8,9,11,81.8,5,8,62.5,0,0.3,0.2,3,0,0,0,1
5,Junior Hoilett,33.0,ca CAN,RM,28-200,73,6,9,66.7,77,5,4,4,100.0,2,4,50.0,0,0,,0,0.0,0.0,0,0,0,0,0
6,Kadeem Harris,23.0,eng ENG,LM,25-197,17,0,2,0.0,0,0,0,1,0.0,0,0,,0,1,0.0,0,0.0,0.0,0,0,0,0,0
7,Aron Gunnarsson,17.0,is ISL,"DM,CM",29-244,82,22,37,59.5,436,134,6,7,85.7,13,21,61.9,3,8,37.5,0,0.0,0.0,0,4,0,0,2
8,Joe Ralls,8.0,eng ENG,CM,25-071,8,3,5,60.0,74,2,0,0,,2,2,100.0,1,3,33.3,0,0.0,0.0,0,1,0,0,0
9,Greg Cunningham,18.0,ie IRL,LB,27-325,90,20,26,76.9,277,162,11,13,84.6,8,9,88.9,0,2,0.0,0,0.1,0.0,1,2,1,0,2
10,Sol Bamba,22.0,ci CIV,CB,33-343,90,12,16,75.0,223,103,3,5,60.0,8,8,100.0,1,1,100.0,0,0.0,0.0,0,1,0,0,1
11,Sean Morrison,4.0,eng ENG,CB,27-348,90,14,21,66.7,283,115,4,5,80.0,8,11,72.7,2,4,50.0,0,0.0,0.0,0,0,0,0,1
12,Bruno Ecuele Manga,5.0,ga GAB,RB,30-159,90,16,24,66.7,235,111,9,11,81.8,6,10,60.0,1,2,50.0,0,0.0,0.0,0,0,0,0,1
13,Neil Etheridge,1.0,ph PHI,GK,28-318,90,6,23,26.1,328,299,0,0,,2,3,66.7,4,20,20.0,0,0.0,0.0,0,2,0,0,0
14,14 Players,,,,,990,152,250,60.8,2838,1196,65,83,78.3,63,92,68.5,20,58,34.5,0,0.5,0.4,6,11,4,2,11
