,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Aerial Duels,Aerial Duels,Aerial Duels
,Player,#,Nation,Pos,Age,Min,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
0,Callum Paterson,13.0,sct SCO,"FW,LW",24-091,90,0,0,0,1,2,1,2,0,0,0,0,0,1,4,12,25.0
1,Junior Hoilett,33.0,ca CAN,"LM,RW",28-221,90,1,0,0,3,3,0,7,2,1,0,0,0,4,1,5,16.7
2,Harry Arter,7.0,ie IRL,"CM,LM",29-015,90,1,0,0,0,1,0,1,2,1,0,0,0,9,0,3,0.0
3,Víctor Camarasa,21.0,es ESP,CM,24-229,63,0,0,0,1,1,0,0,0,0,0,0,0,2,1,2,33.3
4,Joe Ralls,8.0,eng ENG,"RM,CM",25-092,27,0,0,0,1,0,0,0,1,0,0,0,0,2,2,1,66.7
5,Nathaniel Mendez-Laing,19.0,gt GUA,RM,26-272,72,0,0,0,1,1,0,2,1,2,0,0,0,2,3,3,50.0
6,Rhys Healey,32.0,wls WAL,"FW,RM",24-037,18,0,0,0,1,1,0,1,0,0,0,0,0,1,1,1,50.0
7,Aron Gunnarsson,17.0,is ISL,"DM,CM",29-265,90,0,0,0,1,1,0,0,2,0,0,0,0,5,4,4,50.0
8,Joe Bennett,3.0,eng ENG,LB,28-290,90,1,0,0,1,1,0,2,1,0,0,0,0,2,1,0,100.0
9,Sol Bamba,22.0,ci CIV,CB,33-364,90,0,0,0,0,0,1,0,4,0,0,0,0,12,1,1,50.0
10,Sean Morrison,4.0,eng ENG,CB,28-004,90,0,0,0,1,0,1,0,5,0,0,0,0,4,10,8,55.6
11,Bruno Ecuele Manga,5.0,ga GAB,RB,30-180,90,0,0,0,1,0,0,0,1,0,0,0,0,9,2,5,28.6
12,Neil Etheridge,1.0,ph PHI,GK,28-339,90,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,
13,13 Players,,,,,990,3,0,0,12,12,3,15,19,4,0,0,0,54,30,45,40.0
