,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Touches,Touches,Touches,Touches,Touches,Touches,Touches,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Receiving,Receiving
,Player,#,Nation,Pos,Age,Min,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR
0,Kenneth Zohore,10.0,dk DEN,FW,25-026,80,19,0,0,7,12,4,19,2,2,100.0,0,0.0,11,48,28,1,0,1,1,0,18,2
1,Danny Ward,9.0,eng ENG,FW,27-077,10,6,0,0,2,4,2,6,0,0,,0,,1,28,19,1,0,1,0,0,5,0
2,Bobby Reid,14.0,jm JAM,FW,26-024,90,32,0,4,19,11,1,32,0,0,,0,,16,90,33,0,1,0,4,1,14,6
3,Junior Hoilett,33.0,ca CAN,LM,28-266,67,23,0,4,11,8,0,23,0,0,,0,,13,82,32,1,1,0,1,0,13,3
4,Josh Murphy,11.0,eng ENG,LM,24-002,23,13,1,3,2,8,1,13,1,0,0.0,1,100.0,9,88,47,1,2,0,2,1,8,3
5,Aron Gunnarsson,17.0,is ISL,CM,29-310,90,56,4,16,20,21,0,56,2,2,100.0,0,0.0,15,70,19,0,0,0,0,2,18,0
6,Leandro Bacuna,15.0,cw CUW,CM,27-189,90,40,1,4,22,14,1,40,2,2,100.0,0,0.0,9,104,28,2,1,1,1,1,11,0
7,Nathaniel Mendez-Laing,19.0,gt GUA,RM,26-317,68,25,2,4,11,11,1,25,1,0,0.0,1,100.0,10,72,12,1,2,0,1,1,14,1
8,Callum Paterson,13.0,sct SCO,RM,24-136,22,8,2,3,1,4,1,8,0,0,,0,,0,0,0,0,0,0,1,0,4,0
9,Joe Bennett,3.0,eng ENG,LB,28-335,90,42,4,13,25,4,0,42,0,0,,0,,12,51,36,1,0,0,0,0,18,0
10,Sol Bamba,22.0,ci CIV,CB,34-044,90,32,6,19,12,2,0,32,1,1,100.0,0,0.0,10,52,27,1,0,0,1,1,8,0
11,Sean Morrison,4.0,eng ENG,CB,28-049,90,46,8,26,12,11,10,46,0,0,,0,,13,56,30,0,0,0,0,0,11,1
12,Bruno Ecuele Manga,5.0,ga GAB,RB,30-225,90,46,8,20,25,1,0,46,0,0,,0,,16,59,26,0,0,0,0,1,15,0
13,Neil Etheridge,1.0,ph PHI,GK,29-019,90,21,13,21,0,0,0,21,0,0,,0,,8,97,76,0,0,0,0,0,5,0
14,14 Players,,,,,990,409,49,137,169,111,21,409,9,7,77.8,2,22.2,143,897,413,9,7,3,12,8,162,16
