,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Corner Kicks,Corner Kicks,Corner Kicks,Outcomes,Outcomes,Outcomes
,Player,#,Nation,Pos,Age,Min,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks
0,Kenneth Zohore,10.0,dk DEN,FW,25-072,77,20,20,0,0,1,0,1,0,0,0,0,0,14,0,0
1,Oumar Niasse,29.0,sn SEN,FW,28-360,13,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0
2,Junior Hoilett,33.0,ca CAN,LW,28-312,72,12,12,0,0,0,0,1,0,0,0,0,0,9,0,0
3,Nathaniel Mendez-Laing,19.0,gt GUA,"RM,RW",26-363,18,7,7,0,0,0,0,0,0,0,0,0,0,4,0,1
4,Josh Murphy,11.0,eng ENG,"RW,LM,LW",24-048,90,24,23,1,0,1,0,6,0,1,0,0,0,11,0,3
5,Víctor Camarasa,21.0,es ESP,"AM,CM",24-320,90,54,51,3,0,1,0,2,0,3,1,0,1,41,0,2
6,Harry Arter,7.0,ie IRL,DM,29-106,80,32,29,3,1,0,1,2,0,0,0,0,0,27,0,3
7,Bobby Reid,14.0,jm JAM,FW,26-070,10,4,3,1,0,0,0,0,0,0,0,0,0,3,0,0
8,Aron Gunnarsson,17.0,is ISL,"DM,CM",29-356,90,41,35,6,0,0,1,0,6,0,0,0,0,24,0,1
9,Joe Bennett,3.0,eng ENG,LB,29-016,90,47,40,7,1,0,0,2,6,0,0,0,0,37,0,1
10,Bruno Ecuele Manga,5.0,ga GAB,CB,30-271,90,46,43,3,3,0,0,0,0,0,0,0,0,28,0,0
11,Sean Morrison,4.0,eng ENG,CB,28-095,90,25,20,5,1,0,0,0,4,0,0,0,0,10,0,0
12,Lee Peltier,2.0,eng ENG,RB,32-123,90,39,32,7,0,0,0,0,7,0,0,0,0,27,0,2
13,Neil Etheridge,1.0,ph PHI,GK,29-065,90,35,22,13,3,0,0,0,0,0,0,0,0,11,0,0
14,14 Players,,,,,990,387,338,49,9,3,2,14,23,4,1,0,1,247,0,13
