,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Touches,Touches,Touches,Touches,Touches,Touches,Touches,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Receiving,Receiving
,Player,#,Nation,Pos,Age,Min,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR
0,Gonzalo Higuaín,9.0,ar ARG,FW,31-062,90,25,1,1,7,17,3,25,3,1,33.3,2,66.7,16,129,13,0,1,0,0,0,21,4
1,Eden Hazard,10.0,be BEL,LW,28-034,90,49,0,3,19,28,5,49,6,6,100.0,0,0.0,32,341,184,7,5,3,1,1,38,7
2,Pedro,11.0,es ESP,RW,31-197,64,47,1,5,20,23,6,47,1,1,100.0,0,0.0,36,264,93,3,2,1,4,0,37,10
3,Ruben Loftus-Cheek,12.0,eng ENG,RW,23-018,26,11,0,3,3,5,1,11,2,1,50.0,1,50.0,12,121,71,3,1,1,0,2,12,1
4,Ross Barkley,8.0,eng ENG,LM,25-067,51,38,0,3,17,18,3,38,1,1,100.0,0,0.0,17,53,7,0,0,0,0,2,27,2
5,Mateo Kovačić,17.0,hr CRO,LM,24-280,39,19,0,1,11,7,0,19,0,0,,0,,11,47,23,1,1,0,0,0,13,1
6,Jorginho,5.0,it ITA,CM,27-052,90,66,0,14,39,15,0,66,1,1,100.0,0,0.0,45,159,53,0,1,0,0,0,55,0
7,N'Golo Kanté,7.0,fr FRA,RM,27-318,90,67,0,11,32,24,1,67,0,0,,0,,33,169,64,0,2,1,1,3,50,5
8,Marcos Alonso,3.0,es ESP,LB,28-044,72,60,3,18,24,18,0,60,2,2,100.0,0,0.0,37,148,64,2,3,0,2,1,42,4
9,Emerson Palmieri,33.0,it ITA,LB,24-191,18,8,0,1,4,3,0,8,1,1,100.0,0,0.0,6,26,16,1,0,0,0,0,6,0
10,David Luiz,30.0,br BRA,CB,31-294,90,70,10,39,31,1,0,70,0,0,,0,,50,363,171,0,0,0,0,0,58,0
11,Antonio Rüdiger,2.0,de GER,CB,25-344,90,72,13,38,34,1,0,72,0,0,,0,,49,245,109,1,1,0,0,0,55,0
12,César Azpilicueta,28.0,es ESP,RB,29-166,90,78,1,32,37,9,0,78,1,1,100.0,0,0.0,38,141,90,4,2,0,0,0,50,1
13,Kepa Arrizabalaga,1.0,es ESP,GK,24-130,90,41,34,41,0,0,0,41,0,0,,0,,26,126,84,0,0,0,0,0,24,0
14,14 Players,,,,,990,651,63,210,278,169,19,651,18,15,83.3,3,16.7,408,2332,1042,22,19,6,8,9,488,35
