,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Corner Kicks,Corner Kicks,Corner Kicks,Outcomes,Outcomes,Outcomes
,Player,#,Nation,Pos,Age,Min,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks
0,Olivier Giroud,18.0,fr FRA,FW,32-185,90,20,20,0,0,0,0,0,0,0,0,0,0,11,0,0
1,Eden Hazard,10.0,be BEL,LW,28-086,83,71,63,8,2,0,0,7,0,6,2,2,1,61,0,1
2,Willian,22.0,br BRA,RW,30-237,7,6,6,0,0,0,0,0,0,0,0,0,0,5,0,1
3,Callum Hudson-Odoi,20.0,eng ENG,"RW,LW",18-147,90,72,71,1,0,0,0,7,0,1,0,1,0,63,0,0
4,Ruben Loftus-Cheek,12.0,eng ENG,LM,23-070,81,69,68,1,0,0,0,0,0,0,0,0,0,65,0,2
5,Mateo Kovačić,17.0,hr CRO,LM,24-332,9,27,27,0,0,0,0,0,0,0,0,0,0,25,0,0
6,Jorginho,5.0,it ITA,CM,27-104,90,161,161,0,0,0,0,0,0,0,0,0,0,152,0,1
7,N'Golo Kanté,7.0,fr FRA,RM,28-005,90,53,53,0,0,0,0,0,0,0,0,0,0,49,0,0
8,Emerson Palmieri,33.0,it ITA,LB,24-243,90,76,69,7,1,0,0,2,6,0,0,0,0,68,0,1
9,David Luiz,30.0,br BRA,CB,31-346,90,77,74,3,2,1,1,0,1,0,0,0,0,67,0,0
10,Andreas Christensen,27.0,dk DEN,CB,22-358,90,83,79,4,4,0,0,0,0,0,0,0,0,75,0,2
11,César Azpilicueta,28.0,es ESP,RB,29-218,72,46,41,5,0,0,0,3,5,0,0,0,0,41,0,2
12,Davide Zappacosta,21.0,it ITA,RB,26-296,18,13,9,4,1,0,1,1,3,0,0,0,0,10,0,0
13,Kepa Arrizabalaga,1.0,es ESP,GK,24-182,90,17,12,5,0,0,0,0,0,0,0,0,0,17,0,0
14,14 Players,,,,,990,791,753,38,10,1,2,20,15,7,2,3,1,709,0,10
