,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Aerial Duels,Aerial Duels,Aerial Duels
,Player,#,Nation,Pos,Age,Min,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
0,Christian Benteke,17.0,be BEL,FW,28-061,71,0,0,0,1,2,1,0,0,0,0,0,0,2,6,1,85.7
1,Max Meyer,7.0,de GER,CM,23-137,19,0,0,0,1,0,0,0,0,2,0,0,0,1,0,0,
2,Jordan Ayew,14.0,gh GHA,FW,27-144,81,1,0,0,1,4,0,2,0,1,0,0,0,3,4,7,36.4
3,Michy Batshuayi,23.0,be BEL,FW,25-123,9,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0.0
4,Jeffrey Schlupp,15.0,gh GHA,"LM,LW",26-041,89,0,0,0,1,0,0,2,3,1,0,0,0,6,1,1,50.0
5,Bakary Sako,26.0,ml MLI,LW,30-282,1,0,0,0,0,0,0,2,0,0,0,0,0,3,0,0,
6,Luka Milivojević,4.0,rs SRB,CM,27-301,90,0,0,0,2,1,0,12,2,1,0,0,0,3,0,2,0.0
7,James McArthur,18.0,sct SCO,CM,31-118,90,0,0,0,3,0,0,0,1,1,0,0,0,6,1,3,25.0
8,Andros Townsend,10.0,eng ENG,"RM,RW",27-201,90,0,0,0,0,1,0,4,1,0,0,0,0,3,0,0,
9,Patrick van Aanholt,3.0,nl NED,LB,28-157,90,0,0,0,0,0,0,4,1,0,0,0,0,7,0,0,
10,Mamadou Sakho,12.0,fr FRA,CB,28-354,90,0,0,0,0,0,0,0,2,0,0,0,0,5,3,2,60.0
11,James Tomkins,5.0,eng ENG,CB,29-310,90,0,0,0,0,0,0,0,0,1,0,0,0,2,3,2,60.0
12,Aaron Wan-Bissaka,29.0,eng ENG,RB,21-068,90,1,0,0,0,2,0,1,1,2,0,0,0,3,2,1,66.7
13,Vicente Guaita,31.0,es ESP,GK,32-023,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
14,14 Players,,,,,990,2,0,0,9,10,1,27,11,9,0,0,0,46,20,20,50.0
