,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Tackles,Tackles,Tackles,Tackles,Tackles,Challenges,Challenges,Challenges,Challenges,Blocks,Blocks,Blocks,Unnamed: 18_level_0,Unnamed: 19_level_0,Unnamed: 20_level_0,Unnamed: 21_level_0
,Player,#,Nation,Pos,Age,Min,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err
0,Richarlison,30.0,br BRA,"FW,LW",21-198,90,0,0,0,0,0,0,0,,0,0,0,0,0,0,3,0
1,Bernard,20.0,br BRA,LW,26-077,76,1,0,1,0,0,0,0,,0,0,0,0,1,2,0,0
2,Cenk Tosun,14.0,tr TUR,FW,27-170,14,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
3,Theo Walcott,11.0,eng ENG,RW,29-253,72,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
4,Ademola Lookman,31.0,ng NGA,RW,21-035,18,0,0,0,0,0,0,0,,0,1,0,1,0,0,0,0
5,Gylfi Sigurðsson,10.0,is ISL,AM,29-077,89,1,0,0,0,1,0,0,,0,1,0,1,1,2,1,0
6,Kurt Zouma,5.0,fr FRA,"AM,CM",24-028,1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
7,Idrissa Gana Gueye,17.0,sn SEN,DM,29-059,90,2,1,0,0,2,0,0,,0,4,0,4,2,4,0,0
8,André Gomes,8.0,pt POR,DM,25-117,90,2,0,2,0,0,2,2,100.0,0,1,0,1,2,4,1,0
9,Lucas Digne,12.0,fr FRA,LB,25-127,90,3,2,2,1,0,1,1,100.0,0,1,1,0,1,4,1,0
10,Yerry Mina,13.0,co COL,CB,24-062,90,2,2,2,0,0,1,1,100.0,0,0,0,0,0,2,6,1
11,Michael Keane,4.0,eng ENG,CB,25-317,90,1,0,0,1,0,1,1,100.0,0,1,1,0,2,3,7,0
12,Séamus Coleman,23.0,ie IRL,RB,30-044,90,0,0,0,0,0,0,0,,0,0,0,0,1,1,4,0
13,Jordan Pickford,1.0,eng ENG,GK,24-262,90,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
14,14 Players,,,,,990,12,5,7,2,3,5,5,100.0,0,9,2,7,10,22,23,1
