,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Touches,Touches,Touches,Touches,Touches,Touches,Touches,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Receiving,Receiving
,Player,#,Nation,Pos,Age,Min,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR
0,Cenk Tosun,14.0,tr TUR,FW,27-079,83,36,1,5,17,14,2,36,2,0,0.0,2,100.0,23,143,69,1,2,0,2,3,22,4
1,Dominic Calvert-Lewin,29.0,eng ENG,FW,21-162,7,12,0,1,7,4,0,12,0,0,,0,,5,24,0,0,0,0,3,0,7,1
2,Gylfi Sigurðsson,10.0,is ISL,"LM,FW",28-351,90,31,0,3,13,15,2,31,2,1,50.0,1,50.0,18,136,24,2,2,0,1,1,20,5
3,Richarlison,30.0,br BRA,LM,21-107,40,21,1,1,13,8,2,21,5,2,40.0,3,60.0,15,154,33,2,1,1,2,0,19,2
4,Idrissa Gana Gueye,17.0,sn SEN,CM,28-333,90,74,6,18,46,10,0,74,2,2,100.0,0,0.0,45,310,157,1,2,0,2,1,43,0
5,Tom Davies,26.0,eng ENG,CM,20-056,90,61,1,10,35,16,1,61,2,1,50.0,1,50.0,37,122,60,1,2,0,1,0,36,0
6,Theo Walcott,11.0,eng ENG,RM,29-162,84,35,0,2,12,21,5,35,0,0,,0,,24,123,49,2,1,2,2,3,25,6
7,Bernard,20.0,br BRA,RM,25-351,6,4,0,1,1,3,0,4,0,0,,0,,3,13,6,0,1,0,0,0,3,1
8,Leighton Baines,3.0,eng ENG,LB,33-257,90,61,6,12,35,14,0,61,0,0,,0,,32,67,28,0,0,0,0,0,35,4
9,Michael Keane,4.0,eng ENG,CB,25-226,89,62,6,25,34,3,3,62,1,1,100.0,0,0.0,38,196,105,0,0,0,1,0,42,0
10,Kurt Zouma,5.0,fr FRA,CB,23-302,1,2,0,0,2,0,0,2,0,0,,0,,0,0,0,0,0,0,0,0,1,0
11,Mason Holgate,2.0,eng ENG,CB,21-307,90,51,5,17,33,3,1,51,0,0,,0,,33,254,167,0,2,0,0,0,37,0
12,Séamus Coleman,23.0,ie IRL,RB,29-318,90,64,8,25,18,22,3,64,2,1,50.0,1,50.0,37,243,42,3,2,2,4,1,31,10
13,Jordan Pickford,1.0,eng ENG,GK,24-171,90,43,30,40,3,0,0,43,0,0,,0,,18,111,79,0,0,0,0,0,11,0
14,14 Players,,,,,940,557,64,160,269,133,19,557,16,8,50.0,8,50.0,328,1896,819,12,15,5,18,9,332,33
