,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,Unnamed: 20_level_0,Unnamed: 21_level_0,Unnamed: 22_level_0,Unnamed: 23_level_0,Unnamed: 24_level_0,Unnamed: 25_level_0,Unnamed: 26_level_0,Unnamed: 27_level_0
,Player,#,Nation,Pos,Age,Min,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP
0,Richarlison,30.0,br BRA,"FW,LW",21-149,90,21,39,53.8,312,28,13,18,72.2,5,14,35.7,2,3,66.7,0,0.0,0.0,0,1,0,0,2
1,Bernard,20.0,br BRA,"LW,AM",26-028,89,31,45,68.9,385,97,17,20,85.0,9,15,60.0,1,3,33.3,0,0.2,0.1,4,4,2,0,4
2,Morgan Schneiderlin,18.0,fr FRA,DM,28-332,1,1,2,50.0,13,2,1,2,50.0,0,0,,0,0,,0,0.0,0.0,0,0,0,0,0
3,Theo Walcott,11.0,eng ENG,RW,29-204,89,16,23,69.6,223,74,11,15,73.3,5,6,83.3,0,1,0.0,0,0.0,0.0,1,1,1,0,2
4,Dominic Calvert-Lewin,29.0,eng ENG,RW,21-204,1,0,0,,0,0,0,0,,0,0,,0,0,,0,0.0,0.0,0,0,0,0,0
5,Gylfi Sigurðsson,10.0,is ISL,"AM,DM",29-028,90,21,35,60.0,381,164,5,6,83.3,10,13,76.9,3,8,37.5,0,0.3,0.2,4,3,2,0,3
6,Idrissa Gana Gueye,17.0,sn SEN,DM,29-010,90,46,54,85.2,873,191,20,27,74.1,13,14,92.9,10,10,100.0,0,0.0,0.0,0,5,1,0,8
7,Tom Davies,26.0,eng ENG,DM,20-098,70,32,41,78.0,578,140,14,17,82.4,14,18,77.8,4,5,80.0,0,0.0,0.0,0,4,1,0,3
8,Cenk Tosun,14.0,tr TUR,FW,27-121,20,4,5,80.0,106,21,1,2,50.0,1,1,100.0,2,2,100.0,0,0.0,0.0,1,1,0,0,1
9,Lucas Digne,12.0,fr FRA,LB,25-078,90,51,73,69.9,808,456,28,33,84.8,16,24,66.7,5,10,50.0,0,0.2,0.1,1,4,0,0,5
10,Kurt Zouma,5.0,fr FRA,CB,23-344,90,35,40,87.5,824,301,7,8,87.5,18,20,90.0,8,10,80.0,1,0.0,0.0,1,1,0,0,2
11,Michael Keane,4.0,eng ENG,CB,25-268,90,28,34,82.4,485,200,14,16,87.5,11,13,84.6,3,5,60.0,0,0.0,0.0,0,2,0,0,1
12,Jonjoe Kenny,43.0,eng ENG,RB,21-205,90,37,51,72.5,584,337,18,20,90.0,14,19,73.7,3,8,37.5,0,0.0,0.0,0,0,0,0,1
13,Jordan Pickford,1.0,eng ENG,GK,24-213,90,12,28,42.9,519,398,0,0,,4,5,80.0,8,23,34.8,0,0.0,0.0,0,2,0,0,0
14,14 Players,,,,,990,335,470,71.3,6091,2409,149,184,81.0,120,162,74.1,49,88,55.7,1,0.7,0.5,12,28,7,0,32
